tconst,directors,writers
tt0001993,nm0605942,nm0304098
tt0002735,nm0869665,\N
tt0003227,nm0830249,nm2421815;nm0830249;nm0902446
tt0003324,nm0048478;nm0408433,nm0932614
tt0003632,nm0074112;nm0927468,nm0074112;nm0202264;nm0927468
tt0003887,nm0063413;nm0550220,nm0320618
tt0004435,nm0877783,nm0122494;nm0916665
tt0004493,nm0205986,nm0299052;nm0724397
tt0004519,\N,\N
tt0004831,\N,\N
tt0004926,\N,\N
tt0004942,nm0085865;nm0636076,nm0085865;nm0561572
tt0004950,nm0005847,nm0098376
tt0005041,nm0869665,nm0376060;nm0408863;nm0624805
tt0005172,nm0366586,nm0837989
tt0005689,nm0412257,nm0412257
tt0005928,nm0285684;nm0692105,nm0285684;nm0878494
tt0006043,nm0101413,nm0329136;nm0293187;nm0881333
tt0006773,nm0154352,nm0280003;nm0547966
tt0007458,nm0376529,nm0410467;nm0527212
tt0007655,nm0872868,nm0063492;nm0317887
tt0007926,nm0861336,nm0122364;nm0448013
tt0008202,nm1250355,nm0309567;nm0930542
tt0008459,nm0102783,nm0102783
tt0008466,nm0289806,nm0019310;nm0195502
tt0008521,nm0250053,nm0566338;nm0649572
tt0009110,nm0428013,nm0193617;nm0775471
tt0009319,nm0624756,nm0837989
tt0009325,nm0569645,nm0934979;nm0521002
tt0009521,nm0717046,nm0216393;nm0881333
tt0009559,nm0000428,nm0144870;nm0000428
tt0009595,nm0170863,nm0680914;nm0847967
tt0009650,nm0001124,nm0228693;nm0747409
tt0009965,nm0426754,nm0241840
tt0010389,nm0190516,nm0364668;nm0882160;nm0949995
tt0010534,nm0896542,nm0896542
tt0010536,nm0168503;nm0952499,nm0952499
tt0010742,nm0562400,nm0562400
tt0010934,nm0294276,nm0294276
tt0011166,nm0694260,nm0122322;nm0447968
tt0011167,nm0822801,nm0545730;nm0781292
tt0011280,nm0294276,nm0294276
tt0011483,nm0430968,nm0912616;nm0438224;nm0926417;nm0613943;nm0430968
tt0011616,nm0721840,nm0164596;nm0206425
tt0011625,nm0430968,nm0414269;nm0232704;nm0167424;nm0920139
tt0011726,nm0245385,nm0569805
tt0011784,nm0892185,nm0206801
tt0012016,nm0048478,nm0042378;nm0048478
tt0012065,nm0301393;nm0401130,nm0301393
tt0012446,nm0344583,nm1909766;nm0344583
tt0012586,nm0244244,nm0791014;nm0774539
tt0013366,nm0075960,nm0430756;nm0002317
tt0013415,nm0636076,\N
tt0013437,nm0144863,\N
tt0013484,nm0439208,\N
tt0013732,nm0680037,nm0773303
tt0013746,nm0242412;nm0908552;nm0908904,nm0242412;nm0925608
tt0013814,nm0377126,nm0518711;nm0950224
tt0014206,nm0012317,nm0357929;nm0717281
tt0014341,nm0090007;nm0000036,nm0369841;nm0115669;nm0593477
tt0014611,nm0628345;nm0853130,nm0853130;nm0928514;nm0924065;nm0907778
tt0014769,nm0408429;nm0851121,nm0837989
tt0014799,nm0384682,nm0384682;nm0649155
tt0014822,nm0384616,nm0388919;nm0285248
tt0014827,nm0807742,nm0077061;nm0321216
tt0014980,\N,\N
tt0015077,\N,\N
tt0015248,nm0534288,nm0680345
tt0015382,nm0152169,nm0622435;nm0915699
tt0015528,nm0511995,nm9501806
tt0015734,nm0639631,nm0401429
tt0015764,nm0028479;nm0273712;nm0346185,nm0273712;nm1257811
tt0015997,nm0608805;nm0770703,nm0701090;nm0877201;nm0652974
tt0016029,nm0124877,nm0175902;nm0426531;nm0124877
tt0016042,nm1250355,nm0340062;nm0369036;nm0369038
tt0016044,nm0713163,nm0580648
tt0016255,nm0292134,\N
tt0016316,nm0072117,nm0010973;nm0151310
tt0016374,nm0281808,nm0170401;nm0942428
tt0016522,nm0568984,nm0640606
tt0016633,nm0624511,nm0233631;nm1902024
tt0016642,nm0191899,nm0650553
tt0016652,nm0408433,nm0018470;nm0256639
tt0016682,nm0376221,nm0244219;nm0441601;nm0837989
tt0016765,nm0861703,nm0534977;nm0861703
tt0016832,nm0853130,nm0175091;nm0853130;nm0924065;nm0267868
tt0016884,nm0113284,nm0322227;nm0837183;nm0014703;nm0473134;nm0756226
tt0016946,nm0456634,nm0547966;nm0934979;nm0102167
tt0017051,nm0576043,nm0576045;nm0833691
tt0017156,nm0853193,nm0502701;nm0697880
tt0017561,nm0209458,nm0683967
tt0017723,nm0485943,nm0651000
tt0017845,nm0059648,nm0049462;nm0467396
tt0017874,nm0500749,\N
tt0018084,nm0166836,nm0098424;nm0188701;nm0811033
tt0018164,nm0718469,nm0718469;nm0953123
tt0018479,nm0908831,nm0334047;nm0566338;nm0737259;nm0774539
tt0018515,nm0587277,nm0810290;nm0306875;nm0569213;nm0547938
tt0018606,nm0654868;nm0756872,nm0633792;nm0654868
tt0018719,nm0289297,nm0853193;nm0058882;nm0236980
tt0018842,nm0282549,nm0369036;nm0369038;nm0869389
tt0018853,nm0127511,nm0205343;nm0371771;nm0089800
tt0019076,nm0569645,nm0776950;nm0935999
tt0019175,nm0156160,nm0156160;nm0228191;nm0343049;nm0877106
tt0019292,nm0124877,nm0831958;nm0102167
tt0019380,nm0006276,nm0104355;nm0230568;nm0268513;nm0521002
tt0019463,nm0628345;nm0219666,nm0183278;nm0218626;nm0219666;nm0811033;nm0858817
tt0019663,\N,\N
tt0019877,nm0500846;nm0712304,nm0064559;nm0500846;nm0712304
tt0019992,nm0282984,nm0172074;nm0413531
tt0020000,nm0503777,nm0139839;nm0669277;nm0828574
tt0020081,nm0291548,nm0519556;nm0473134;nm0921995
tt0020261,nm0398464,nm0172193;nm0272045;nm0371685
tt0020475,nm0655065,nm0127060;nm0503025
tt0020867,nm0454771,nm0942428;nm0607583;nm0798993
tt0020942,nm0002030;nm0306875,nm0026639;nm0388166;nm0672928
tt0021299,nm0916125,nm0472812
tt0021412,nm0136888,nm0063492;nm0179993;nm0494964
tt0021707,nm0395023,nm0001316;nm0491048;nm0907778
tt0021746,nm0749484,nm0272209;nm0261455;nm0765037
tt0021905,nm0384682,nm0172677;nm0319148;nm0657176
tt0022371,nm0593180,nm0593180
tt0022509,nm0440261,nm0440261
tt0022582,nm0909825,nm0608054;nm0299154;nm0093397
