tconst,cinemeta_title,cinemeta_directors,cinemeta_writers
tt0001993,L'�lectrocut�,Camille de Morlhon,Abel Gance
tt0002735,Le cam�e,Maurice Tourneur,\N
tt0003227,"The Girl from Abroad; or, The Great Underworld",Mauritz Stiller,Mauritz Stiller; Hugo von Hofmannsthal (novel)
tt0003324,A Regiment of Two,George D. Baker; Ralph Ince,Anthony E. Wills
tt0003632,Arme Eva,Robert Wiene,\N
tt0003887,Entre ruinas,Ricardo de Ba�os; Alberto Marro,Pedro Giralt y Alemany (play)
tt0004435,The Opened Shutters,Otis Turner,Clara Louise Burnham (novel); Lois Weber (adaptation)
tt0004493,The Pride of Jennico,J. Searle Dawley,Grace Livingston Furniss (novel); Abby Sage Richardson (novel)
tt0004519,The Red Flame of Passion,\N,\N
tt0004831,A Woman Who Did,\N,\N
tt0004926,Authentic European War,\N,\N
tt0004942,The Battle Cry of Peace,J. Stuart Blackton; Wilfrid North,J. Stuart Blackton; Hudson Maxim (book)
tt0004950,The Beachcomber,Phil Rosen,Hobart Bosworth (story)
tt0005041,A Butterfly on the Wheel,Maurice Tourneur,Edward Hemmerde (play); E. Magnus Ingleton; Francis Neilson (play)
tt0005172,The Darkening Trail,William S. Hart,C. Gardner Sullivan (story)
tt0005689,The Majesty of the Law,Julia Crawford Ivers,Julia Crawford Ivers (scenario)
tt0005928,The Prince and the Pauper,Hugh Ford; Edwin S. Porter,Hugh Ford; Mark Twain (novel)
tt0006043,The Silent Voice,William Bowman,Jules Eckert Goodman (play); I.K. Freedman (scenario); Eve Unsell (scenario)
tt0006773,The Heart of a Hero,Emile Chautard,Clyde Fitch (play); Frances Marion
tt0007458,Thrown to the Lions,Lucius Henderson,Wallace Irwin (story); Norbert Lusk (scenario)
tt0007655,The Auction Block,Laurence Trimble,Adrian Gil-Spear
tt0007926,The Fair Barbarian,Robert Thornby,Frances Hodgson Burnett (novel); Edith M. Kennedy
tt0008202,The Lonesome Chap,Edward LeSaint,Harvey Gates; Emma Rochelle Williams (story)
tt0008459,The Primitive Call,Bertram Bracken,Bertram Bracken
tt0008466,The Princess' Necklace,Floyd France,Clare Freeman Alger (story); E. Clement D'Art
tt0008521,The Rose of Blood,J. Gordon Edwards,Bernard McConville; Ryszard Ordynski (story)
tt0009110,The Girl Who Wouldn't Quit,Edgar Jones,James Oliver Curwood (story); Doris Schroeder (scenario)
tt0009319,Love Me,Roy William Neill,C. Gardner Sullivan (scenario)
tt0009325,The Lure of the Circus,J.P. McGowan,William E. Wing (scenario); Hope Loring (scenario)
tt0009521,The Prodigal Wife,Frank Reicher,Edith Barnard Delano (story); Eve Unsell (scenario)
tt0009559,A Romance of Happy Valley,D.W. Griffith,D.W. Griffith (story)
tt0009595,The Secret Woman,A.E. Coleby,Eden Phillpotts; Rowland Talbot
tt0009650,The Squaw Man,Cecil B. DeMille,Beulah Marie Dix; Beulah Marie Dix
tt0009965,Breezy Jim,Lorimer Johnston,J. Francis Dunbar
tt0010389,The Lottery Man,James Cruze,Elmer Harris; Frank Urson; Rida Johnson Young (play)
tt0010534,The Other Half,King Vidor,King Vidor (story)
