tconst,cinemeta_title,cinemeta_directors,cinemeta_writers
tt0003442,Tess of the D'Urbervilles,J. Searle Dawley,Thomas Hardy (novel)
tt0003749,The Captain Besley Expedition,Franklin B. Coates,\N
tt0005626,The Little Dutch Girl,Emile Chautard,E. Magnus Ingleton (scenario); Ouida (novel)
tt0005921,Pretty Mrs. Smith,Hobart Bosworth,Elmer Harris (play); Elmer Harris (screenplay); Oliver Morosco (play)
tt0007102,Mu�ecos,Benito Perojo,Benito Perojo (screenplay); Benito Perojo (story)
tt0007430,The Target,Norval MacGregor,Ronald Bradbury
tt0008502,The Red Ace,Jacques Jaccard,Jacques Jaccard
tt0008855,El aventurero misterioso,Eusebio Fern�ndez Ardav�n,Eusebio Fern�ndez Ardav�n; Eusebio Fern�ndez Ardav�n
tt0009540,"The Red, Red Heart",Wilfred Lucas,Bess Meredyth (adaptation); Honore Morrow (novel)
tt0010317,Die Jugends�nde,Georg Alexander,Ludwig Anzengruber (play)
tt0011436,Der Mann ohne Namen - 1. Der Millionendieb,Georg Jacoby,Georg Jacoby; Robert Liebmann; Ewald Gerhard Seeliger (novel)
tt0012177,Flor de Espa�a o La historia de un torero,Elena Cortesina; Jos� Mar�a Granada,Jos� Mar�a Granada (screenplay); Jos� Mar�a Granada (story)
tt0012403,Lonely Heart,John B. O'Brien,\N
tt0013030,The Cowboy and the Lady,Charles Maigne,Clyde Fitch (play); Julien Josephson
tt0014059,Frauenmoral,Theo Frenkel,Paul Beyer; Theo Frenkel
tt0014852,Don't Call It Love,William C. de Mille,Clara Beranger; Hubert Osborne (play); Julian Street (novel)
tt0015647,Broadway Lady,Wesley Ruggles,Fred Myton; Fred Myton
tt0015793,Fangs of Wolfheart,Charles R. Seeling,\N
tt0016551,Women and Gold,James P. Hogan,Betty Grace Hartford; James P. Hogan (story)
tt0017500,The Unknown Cavalier,Albert S. Rogell,Marion Jackson (adaptation); Kenneth Perkins (novel); Don Ryan (titles)
tt0017743,Chang: A Drama of the Wilderness,Merian C. Cooper; Ernest B. Schoedsack,Achmed Abdullah (titles)
tt0017829,Dress Parade,Donald Crisp,\N
tt0018336,The Romantic Age,Robert Florey,Dorothy Howell (screenplay); Dorothy Howell (story)
tt0018953,The Grain of Dust,George Archainbaud,Frances Hyland; Paul Perez
tt0020514,The Trespasser,Edmund Goulding,Edmund Goulding
tt0020803,Dames Ahoy,William James Craft,Sherman L. Lowe; Albert DeMond; Matt Taylor
tt0021404,The Song of the Flame,Alan Crosland,\N
tt0021483,Tom Sawyer,John Cromwell,Mark Twain; Grover Jones; William Slavens McNutt
tt0022101,M'Blimey,J. Elder Wills,C.H. Dand; Hans Nieter
tt0024950,Three Cornered Hat,Mario Camerini,Ercole Patti (screenplay); Ivo Perilli (screenplay); Mario Soldati (screenplay)
tt0024952,Caravan,Erik Charell,Melchior Lengyel; Robert Liebmann (novel); Samson Raphaelson
tt0025512,Mon coeur t'appelle,Carmine Gallone; Serge V�ber,Richard Benson; Robert Edmunds
tt0026542,Jalna,John Cromwell,\N
tt0026546,The Queen and the Cardinal,Abel Gance,Abel Gance
tt0027060,Super-Speed,Lambert Hillyer,Harold Shumate (story)
tt0027535,Don't Get Personal,Charles Lamont; William Nigh,Wilhelm Thiele (story); Edmund L. Hartmann (story); George Waggner (screenplay); Clarence Marks (screenplay); Houston Branch (screenplay)
tt0028220,Savoy-Hotel 217,Gustav Ucicky,Gerhard Menzel (screenplay)
tt0029085,Bubi,B�la Ga�l,Felix Jackson (screenplay); Max Kolp� (screenplay)
