tconst,tmdb_title,tmdb_directors,tmdb_writers,wikidata_title,wikidata_directors,wikidata_writers
tt0001993,\N,\N,\N,Q8840826,Camille de Morlhon,Abel Gance
tt0002735,\N,\N,\N,The Cameo,Maurice Tourneur,\N
tt0003227,The Unknown Woman,Mauritz Stiller,Hugo von Hofmannsthal; Mauritz Stiller,"The Girl from Abroad; or, The Great Underworld",Mauritz Stiller,Mauritz Stiller
tt0003324,A Regiment of Two,George D. Baker; Ralph Ince,Anthony E. Wills,A Regiment of Two,George D. Baker; Ralph Ince,\N
tt0003632,Dear Eva,Robert Wiene,\N,Frau Eva,Robert Wiene; Artur Berger,Robert Wiene; Artur Berger
tt0003887,\N,\N,\N,\N,\N,\N
tt0004435,The Opened Shutters,Otis Turner,\N,The Opened Shutters,Otis Turner,\N
tt0004493,The Pride of Jennico,J. Searle Dawley,Abby Sage Richardson; Grace Livingston Furniss,The Pride of Jennico,J. Searle Dawley,\N
tt0004519,\N,\N,\N,\N,\N,\N
tt0004831,\N,\N,\N,\N,\N,\N
tt0004926,\N,\N,\N,\N,\N,\N
tt0004942,The Battle Cry of Peace,J. Stuart Blackton; Wilfrid North,J. Stuart Blackton,The Battle Cry of Peace,Wilfrid North; J. Stuart Blackton,J. Stuart Blackton
tt0004950,The Beachcomber,Phil Rosen,\N,The Beachcomber,Phil Rosen,\N
tt0005041,\N,\N,\N,The Butterfly on the Wheel,Maurice Tourneur,Edward Hemmerde
tt0005172,The Darkening Trail,William S. Hart,C. Gardner Sullivan,The Darkening Trail,William S. Hart,C. Gardner Sullivan
tt0005689,The Majesty of the Law,Julia Crawford Ivers,Julia Crawford Ivers,The Majesty of the Law,Julia Crawford Ivers,\N
tt0005928,The Prince and the Pauper,Edwin S. Porter; Hugh Ford,Hugh Ford,The Prince and the Pauper,Edwin Stanton Porter,Mark Twain
tt0006043,The Silent Voice,William Bowman,\N,The Silent Voice,William Bowman,\N
tt0006773,The Heart of a Hero,Émile Chautard,Frances Marion,The Heart of a Hero,Émile Chautard; George Archainbaud,Frances Marion
tt0007458,Thrown to the Lions,Lucius Henderson,Wallace Irwin; Norbert Lusk,Thrown to the Lions,Lucius J. Henderson,\N
tt0007655,\N,\N,\N,The Auction Block,Laurence Trimble,\N
tt0007926,The Fair Barbarian,Robert Thornby,Edith M. Kennedy,The Fair Barbarian,Robert Thornby,\N
tt0008202,\N,\N,\N,The Lonesome Chap,Edward LeSaint,Harvey Gates
tt0008459,\N,\N,\N,The Primitive Call,Bertram Bracken,\N
tt0008466,\N,\N,\N,\N,\N,\N
tt0008521,The Rose Of Blood,J. Gordon Edwards,Ryszard Ordyński; Bernard McConville,The Rose of Blood,J. Gordon Edwards,Bernard McConville
tt0009110,The Girl Who Wouldn't Quit,Edgar Jones,James Oliver Curwood,The Girl Who Wouldn't Quit,Edgar Jones,\N
tt0009319,Love Me,Roy William Neill,\N,Love Me,Roy William Neill,C. Gardner Sullivan
tt0009325,The Lure of the Circus,J.P. McGowan,William E. Wing; Hope Loring,The Lure of the Circus,J. P. McGowan,Hope Loring
tt0009521,The Prodigal Wife,Frank Reicher,Edith Barnard Delano,The Prodigal Wife,Frank Reicher,\N
tt0009559,A Romance of Happy Valley,D.W. Griffith,Mary Castelman; D.W. Griffith,A Romance of Happy Valley,D. W. Griffith,\N
tt0009595,\N,\N,\N,The Secret Woman,A.E. Coleby,Eden Phillpotts
tt0009650,The Squaw Man,Cecil B. DeMille,Beulah Marie Dix,The Squaw Man,Anne Bauchens; Sam Wood; Cecil B. DeMille,Beulah Marie Dix
tt0009965,\N,\N,\N,Breezy Jim,Lorimer Johnston,\N
tt0010389,The Lottery Man,James Cruze,Frank Urson; Elmer Harris,The Lottery Man,James Cruze,Frank Urson
tt0010534,The Other Half,King Vidor,King Vidor,The Other Half,King Vidor,King Vidor
tt0010536,The Other,Juan María Codina; Eduardo Zamacois,Eduardo Zamacois,\N,\N,\N
tt0010742,\N,\N,\N,\N,\N,\N
tt0010934,\N,\N,\N,Ray of Sunshine,Theo Frenkel,Theo Frenkel
tt0011166,Eyes of the Heart,Paul Powell,Dana Burnet; Clara Genevieve Kennedy,Eyes of the Heart,Paul Powell,Clara Genevieve Kennedy
tt0011167,The Face at Your Window,Richard Stanton,Max Marcin,The Face at Your Window,Richard Stanton,Edward Sedgwick; Max Marcin
tt0011280,Helleveeg,Theo Frenkel Sr.,Theo Frenkel Sr.,Helleveeg,Theo Frenkel,Theo Frenkel
tt0011483,Mothers of Men,Edward José,Charles E. Whittaker; De Witte Kaplan,Mothers of Men,Edward José,\N
tt0011616,The Red Lane,Lynn Reynolds,Violet Clark,The Red Lane,Lynn Reynolds,\N
tt0011625,The Riddle: Woman,Edward José,Dorothy Donnelly; Charlotte E. Wells; John B. Clymer,The Riddle: Woman,Edward José,Charlotte E. Wells; Dorothy Donnelly; John B. Clymer
tt0011726,A Splendid Hazard,Allan Dwan,\N,A Splendid Hazard,Arthur Rosson,\N
tt0011784,Trailed by Three,Perry N. Vekroff,Charles T. Dazey,Trailed by Three,Perry N. Vekroff,Q5076779
tt0012016,Buried Treasure,George D. Baker,\N,Buried Treasure,George D. Baker,\N
tt0012065,\N,\N,\N,O Condenado,\N,\N
tt0012446,Mann über Bord,Karl Grune,Karl Grune; Georg Franck,Man Overboard,Karl Grune,\N
tt0012586,The Primal Law,Bernard J. Durning,\N,The Primal Law,Bernard Durning,Paul Schofield
tt0013366,Man With Two Mothers,Paul Bern,\N,Q17396765,Paul Bern,\N
tt0013415,\N,\N,\N,\N,\N,\N
tt0013437,\N,\N,\N,\N,\N,\N
tt0013484,\N,\N,\N,\N,\N,\N
tt0013732,Versunkene Welten,Siegfried Philippi,\N,Sunken Worlds,Siegfried Philippi,\N
tt0013746,Western Speed,C.R. Wallace; Scott R. Dunlap; William Wallace,Scott R. Dunlap,Western Speed,Scott R. Dunlap,\N
tt0013814,Abysmal Brute,Hobart Henley,A.P. Younger,The Abysmal Brute,Hobart Henley,\N
tt0014206,\N,\N,\N,The Little Red Schoolhouse,John G. Adolfi,\N
tt0014341,Our Hospitality,John G. Blystone; Buster Keaton,Jean C. Havez; Joseph A. Mitchell; Clyde Bruckman,Our Hospitality,Buster Keaton; John G. Blystone,Joseph A. Mitchell; Jean Havez; Clyde Bruckman
tt0014611,Why Worry?,Fred C. Newmeyer; Sam Taylor,Sam Taylor; Ted Wilde; Tim Whelan,Why Worry?,Sam Taylor,Sam Taylor; Ted Wilde
tt0014769,Cheap Kisses,John Ince; Cullen Tate,C. Gardner Sullivan; C. Gardner Sullivan,Cheap Kisses,John Ince,\N
tt0014799,The Conspirators,Sinclair Hill,Sinclair Hill,The Conspirators,Sinclair Hill,\N
tt0014822,The Dangerous Blonde,Robert F. Hill,Hulbert Footner,The Dangerous Blonde,Robert F. Hill,\N
tt0014827,Daring Chances,Clifford Smith,Isadore Bernstein; Wyndham Gittens,Daring Chances,Clifford Smith,\N
tt0014980,\N,\N,\N,\N,\N,\N
tt0015077,Lolita the orphan,Alejandro Olavarria,\N,Lolita la huérfana,Aureliano González,Aureliano González; Alejandro Olabarria
tt0015248,The Price She Paid,Henry MacRae,\N,The Price She Paid,Henry MacRae,\N
tt0015382,\N,\N,\N,\N,\N,\N
tt0015528,Man of Destiny,John Lindlöf,J. Ericius,Q10727103,John Lindlöf,\N
tt0015734,Daring Days,John B. O'Brien,George C. Hull,\N,\N,\N
tt0015764,\N,\N,\N,\N,\N,\N
tt0015997,The Stationmaster,Ivan Moskvin; Yuri Zhelyabuzhsky,Valentin Turkin; Fyodor Otsep,The Stationmaster,Ivan Moskvin; Yuri Zhelyabuzhsky,Nikolai Kovarsky; Fedor Ozep
tt0016029,The Little Colonel,David Butler,William M. Conselman; Anne Fellows Johnston,The Little Colonel,David Butler,William Conselman
tt0016042,The Love Gamble,Edward LeSaint,\N,The Love Gamble,Edward LeSaint,\N
tt0016044,The Love Hour,Herman C. Raymaker,Bess Meredyth,The Love Hour,Herman C. Raymaker,Bess Meredyth
tt0016255,\N,\N,\N,\N,\N,\N
tt0016316,Scandal Street,Whitman Bennett,Frank R. Adams; Harry Chandlee,Scandal Street,Whitman Bennett,\N
tt0016374,A Son of His Father,Victor Fleming,Anthony Coldeway,A Son of His Father,Victor Fleming,\N
tt0016522,Whistling Jim,Wilbur McGaugh,Peggy O'Day,\N,\N,\N
tt0016633,Beatrice Cenci,Baldassarre Negroni; Torello Rolli,Luciano Doria,Beatrice Cenci,Baldassarre Negroni,\N
tt0016642,Bertha the Sewing Machine Girl,Irving Cummings,Gertrude Orr,"Bertha, the Sewing Machine Girl",Irving Cummings,Gertrude Orr
tt0016652,Bigger Than Barnum's,Ralph Ince,J. Grubb Alexander; Arthur Guy Empey,Bigger Than Barnum's,Ralph Ince,J. Grubb Alexander
tt0016682,The Broadway Boob,Joseph Henabery,E.V. Durling; Monte M. Katterjohn,The Broadway Boob,Joseph Henabery,Monte M. Katterjohn
tt0016765,\N,\N,\N,The Dangerous Dub,Richard Thorpe,\N
tt0016832,Exit Smiling,Sam Taylor,Marc Connelly,Exit Smiling,Sam Taylor,Sam Taylor; Joseph Farnham
tt0016884,Flesh and the Devil,Clarence Brown,Benjamin Glazer; Marian Ainslee,Flesh and the Devil,Clarence Brown,Benjamin Glazer
tt0016946,Hands Across the Border,David Kirkland,Frances Marion,Hands Across the Border,David Kirkland,\N
tt0017051,Laddie,James Leo Meehan,Jeanette Porter Meehan,Laddie,James Leo Meehan,\N
tt0017156,\N,\N,\N,The Miracle of Life,Stanner E.V. Taylor,\N
tt0017561,Wild to Go,Robert De Lacey,F.A.E. Pine,Wild to Go,Robert De Lacey,\N
tt0017723,By Whose Hand?,Walter Lang,Marion Orth,By Whose Hand?,Walter Lang,\N
tt0017845,Eins + Eins = Drei,Felix Basch,Béla Balázs; Henry Koster,One Plus One Equals Three,Felix Basch,Béla Balázs
tt0017874,\N,\N,\N,\N,\N,\N
tt0018084,Let It Rain,Edward F. Cline,Wade Boteler; Wade Boteler; George Crone; George Crone; Earle Snell; Earle Snell,Let It Rain,Edward F. Cline,Wade Boteler
tt0018164,The Missing Link,Charles Reisner,Charles Reisner,The Missing Link,Charles Reisner,\N
tt0018479,A Texas Steer,Richard Wallace,Bernard McConville; Will Rogers,A Texas Steer,Richard Wallace,Garrett Graham
tt0018515,Two Arabian Knights,Lewis Milestone,Donald McGibney; Cyril Gardner; Wallace Smith,Two Arabian Knights,Lewis Milestone,"Wallace Smith; Cyril Gardner; George Marion, Jr."
tt0018606,Sword of Penitence,Yasujirō Ozu; Torajirō Saitō,Kōgo Noda,Sword of Penitence,Yasujirō Ozu,Kōgo Noda; Yasujirō Ozu
