tconst,tmdb_title,tmdb_directors,tmdb_writers,wikidata_title,wikidata_directors,wikidata_writers,cinemeta_title,cinemeta_directors,cinemeta_writers,letterboxd_title,letterboxd_directors,letterboxd_writers
tt0001993,\N,\N,\N,Q8840826,Camille de Morlhon,Abel Gance,L'�lectrocut�,Camille de Morlhon,Abel Gance,IMDb ID Not found,\N,\N
tt0002735,\N,\N,\N,The Cameo,Maurice Tourneur,\N,Le cam�e,Maurice Tourneur,\N,IMDb ID Not found,\N,\N
tt0003227,The Unknown Woman,Mauritz Stiller,Hugo von Hofmannsthal; Mauritz Stiller,"The Girl from Abroad; or, The Great Underworld",Mauritz Stiller,Mauritz Stiller,"The Girl from Abroad; or, The Great Underworld",Mauritz Stiller,Mauritz Stiller; Hugo von Hofmannsthal (novel),The Unknown Woman,Mauritz Stiller,Mauritz Stiller; Hugo von Hofmannsthal
tt0003324,A Regiment of Two,George D. Baker; Ralph Ince,Anthony E. Wills,A Regiment of Two,George D. Baker; Ralph Ince,\N,A Regiment of Two,George D. Baker; Ralph Ince,Anthony E. Wills,A Regiment of Two,Ralph Ince; George D. Baker,Anthony E. Wills
tt0003632,Dear Eva,Robert Wiene,\N,Frau Eva,Robert Wiene; Artur Berger,Robert Wiene; Artur Berger,Arme Eva,Robert Wiene,\N,Dear Eva,Robert Wiene,\N
tt0003887,\N,\N,\N,\N,\N,\N,Entre ruinas,Ricardo de Ba�os; Alberto Marro,Pedro Giralt y Alemany (play),IMDb ID Not found,\N,\N
tt0004435,The Opened Shutters,Otis Turner,\N,The Opened Shutters,Otis Turner,\N,The Opened Shutters,Otis Turner,Clara Louise Burnham (novel); Lois Weber (adaptation),The Opened Shutters,Otis Turner,Lois Weber
tt0004493,The Pride of Jennico,J. Searle Dawley,Abby Sage Richardson; Grace Livingston Furniss,The Pride of Jennico,J. Searle Dawley,\N,The Pride of Jennico,J. Searle Dawley,Grace Livingston Furniss (novel); Abby Sage Richardson (novel),The Pride of Jennico,J. Searle Dawley,Abby Sage Richardson; Grace Livingston Furniss
tt0004519,\N,\N,\N,\N,\N,\N,The Red Flame of Passion,\N,\N,IMDb ID Not found,\N,\N
tt0004831,\N,\N,\N,\N,\N,\N,A Woman Who Did,\N,\N,IMDb ID Not found,\N,\N
tt0004926,\N,\N,\N,\N,\N,\N,Authentic European War,\N,\N,IMDb ID Not found,\N,\N
tt0004942,The Battle Cry of Peace,J. Stuart Blackton; Wilfrid North,J. Stuart Blackton,The Battle Cry of Peace,Wilfrid North; J. Stuart Blackton,J. Stuart Blackton,The Battle Cry of Peace,J. Stuart Blackton; Wilfrid North,J. Stuart Blackton; Hudson Maxim (book),The Battle Cry of Peace,J. Stuart Blackton; Wilfrid North,J. Stuart Blackton
tt0004950,The Beachcomber,Phil Rosen,\N,The Beachcomber,Phil Rosen,\N,The Beachcomber,Phil Rosen,Hobart Bosworth (story),The Beachcomber,Phil Rosen,\N
