tconst,omdb_title,omdb_directors,omdb_writers,wikidata_title,wikidata_directors,wikidata_writers
tt0003442,Tess of the D'Urbervilles,J. Searle Dawley,Thomas Hardy,Tess of the d'Urbervilles,J. Searle Dawley,Thomas Hardy
tt0003749,The Captain Besley Expedition,Franklin B. Coates,\N,\N,\N,\N
tt0005626,The Little Dutch Girl,Emile Chautard,E. Magnus Ingleton; Ouida,The Little Dutch Girl,Émile Chautard,\N
tt0005921,Pretty Mrs. Smith,Hobart Bosworth,Elmer Harris; Oliver Morosco,Pretty Mrs. Smith,Hobart Bosworth,Elmer Blaney Harris
tt0007102,Muñecos,Benito Perojo,Benito Perojo,\N,\N,\N
tt0007430,The Target,Norval MacGregor,Robert N. Bradbury,\N,\N,\N
tt0008502,The Red Ace,Jacques Jaccard,Jacques Jaccard,The Red Ace,Jacques Jaccard,Jacques Jaccard
tt0008855,El aventurero misterioso,Eusebio Fernández Ardavín,Eusebio Fernández Ardavín; Eusebio Fernández Ardavín,\N,\N,\N
tt0009540,"The Red, Red Heart",Wilfred Lucas,Bess Meredyth; Honore Morrow,\N,\N,\N
tt0010317,Die Jugendsünde,Georg Alexander,Ludwig Anzengruber (play),\N,\N,\N
tt0011436,Der Mann ohne Namen - 1. Der Millionendieb,Georg Jacoby,Georg Jacoby; Robert Liebmann; Ewald Gerhard Seeliger,Q38047964,Georg Jacoby,Robert Liebmann
tt0012177,Spanish Flower or the Bullfighter's Story,Helena Cortesina; José María Granada,José María Granada,\N,\N,\N
tt0012403,Lonely Heart,John B. O'Brien,H.H. Caldwell; Anthony Paul Kelly; Edgar Selwyn,\N,\N,\N
tt0013030,The Cowboy and the Lady,Charles Maigne,Clyde Fitch; Julien Josephson,The Cowboy and the Lady,Charles Maigne,Julien Josephson
tt0014059,Frauenmoral,Theo Frenkel,Paul Beyer; Theo Frenkel,Frauenmoral,Theo Frenkel,\N
tt0014852,Don't Call It Love,William C. de Mille,Clara Beranger; Hubert Osborne; Julian Street,Don't Call It Love,William Churchill deMille,Clara Beranger
tt0015647,Broadway Lady,Wesley Ruggles,Fred Myton,Broadway Lady,Wesley Ruggles,Q5495982
tt0015793,Fangs of Wolfheart,Charles R. Seeling,\N,\N,\N,\N
