tconst,tmdb_title,tmdb_directors,tmdb_writers,wikidata_title,wikidata_directors,wikidata_writers
tt0003442,Tess of the D'Urbervilles,J. Searle Dawley,\N,Tess of the d'Urbervilles,J. Searle Dawley,Thomas Hardy
tt0003749,\N,\N,\N,\N,\N,\N
tt0005626,The Little Dutch Girl,Émile Chautard,\N,The Little Dutch Girl,Émile Chautard,\N
tt0005921,Pretty Mrs. Smith,Hobart Bosworth,Elmer Harris,Pretty Mrs. Smith,Hobart Bosworth,Elmer Blaney Harris
tt0007102,\N,\N,\N,\N,\N,\N
tt0007430,The Target,Norval MacGregor,Robert N. Bradbury,\N,\N,\N
tt0008502,\N,\N,\N,The Red Ace,Jacques Jaccard,Jacques Jaccard
tt0008855,\N,\N,\N,\N,\N,\N
tt0009540,"The Red, Red Heart",Wilfred Lucas,\N,\N,\N,\N
tt0010317,\N,\N,\N,\N,\N,\N
tt0011436,\N,\N,\N,Q38047964,Georg Jacoby,Robert Liebmann
tt0012177,Flor de España o la leyenda de un torero,Helena Cortesina; José María Granada,José María Granada,\N,\N,\N
tt0012403,Lonely Heart,John B. O'Brien,Edgar Selwyn,\N,\N,\N
tt0013030,The Cowboy and the Lady,Charles Maigne,Clyde Fitch; Julien Josephson,The Cowboy and the Lady,Charles Maigne,Julien Josephson
tt0014059,\N,\N,\N,Frauenmoral,Theo Frenkel,\N
tt0014852,Don't Call It Love,William C. deMille,Clara Beranger,Don't Call It Love,William Churchill deMille,Clara Beranger
tt0015647,A Broadway Lady,Wesley Ruggles,Fred Myton; Fred Myton,Broadway Lady,Wesley Ruggles,Q5495982
tt0015793,Fangs of Wolfheart,Charles R. Seeling,\N,\N,\N,\N
tt0016551,Women and Gold,James P. Hogan,James P. Hogan,Women and Gold,\N,\N
tt0017500,The Unknown Cavalier,Albert S. Rogell,Marion Jackson,The Unknown Cavalier,Albert S. Rogell,\N
tt0017743,Chang: A Drama of the Wilderness,Merian C. Cooper; Ernest B. Schoedsack,Merian C. Cooper; Ernest B. Schoedsack; Achmed Abdullah,Chang,Ernest B. Schoedsack; Merian C. Cooper,Achmed Abdullah; Merian C. Cooper; Ernest B. Schoedsack
tt0017829,Dress Parade,Donald Crisp,Alexander Chilton; Douglas Z. Doty; Herbert Walters; Robert Glassburn,Dress Parade,Donald Crisp,\N
tt0018336,The Romantic Age,Robert Florey,Dorothy Howell,The Romantic Age,Robert Florey,\N
tt0018953,\N,\N,\N,The Grain of Dust,George Archainbaud,Gordon Rigby
tt0020514,The Trespasser,Edmund Goulding,Edmund Goulding,The Trespasser,Edmund Goulding,Edmund Goulding
tt0020803,Dames Ahoy,William James Craft,Sherman L. Lowe; Albert DeMond; Matt Taylor,Q16989055,William James Craft,Sherman L. Lowe
tt0021404,The Song of the Flame,Alan Crosland,\N,Song of the Flame,Alan Crosland,Gordon Rigby
tt0021483,Tom Sawyer,John Cromwell,Sam Mintz; William Slavens McNutt; Grover Jones,Tom Sawyer,John Cromwell,Grover Jones
tt0022101,\N,\N,\N,\N,\N,\N
tt0024950,Three Cornered Hat,Mario Camerini,Ercole Patti; Mario Soldati; Ivo Perilli,The Three-Cornered Hat,Mario Camerini,Ercole Patti; Mario Soldati; Ivo Perilli
tt0024952,Caravan,Erik Charell,Melchior Lengyel; Samson Raphaelson,Caravan,Erik Charell,Samson Raphaelson
tt0025512,My Heart Is Calling You,Serge Veber; Carmine Gallone,\N,Mon cœur t'appelle,Carmine Gallone,Ernst Marischka
tt0026542,Jalna,John Cromwell,Anthony Veiller,Jalna,John Cromwell,Anthony Veiller
tt0026546,The Queen and the Cardinal,Abel Gance,Paul Fékété; Abel Gance,Jérôme Perreau héros des barricades,Abel Gance,Abel Gance
tt0027060,Super Speed,Lambert Hillyer,Harold Shumate,Super Speed,\N,\N
tt0027535,Don’t Get Personal,William Nigh,Wilhelm Thiele; Edmund L. Hartmann; George Waggner; Clarence Marks; Houston Branch,Don't Get Personal,William Nigh,George Waggner
tt0028220,Savoy-Hotel 217,Gustav Ucicky,Gerhard Menzel,Savoy Hotel 217,Gustav Ucicky; Eduard von Borsody,Gerhard Menzel
tt0029085,Bubi,Béla Gaál,Felix Jackson; Max Kolpé,\N,\N,\N
tt0029141,Love Can Lie,Heinz Helbig,Erich Ebermayer; Franz Wallner-Basté,Love Can Lie,Heinz Helbig,\N
tt0029328,O.H.M.S.,Raoul Walsh,Lesser Samuels; Ralph Gilbert Bettison,O.H.M.S.,Raoul Walsh,\N
tt0030981,Wives Under Suspicion,James Whale,Myles Connolly; Ladislas Fodor,Wives Under Suspicion,James Whale,Myles Connolly
tt0031655,\N,\N,\N,The Minister's Friend,Viktor Bánky,\N
