tconst,tmdb_title,tmdb_directors,tmdb_writers,wikidata_title,wikidata_directors,wikidata_writers,cinemeta_title,cinemeta_directors,cinemeta_writers,letterboxd_title,letterboxd_directors,letterboxd_writers
tt0003442,Tess of the D'Urbervilles,J. Searle Dawley,\N,Tess of the d'Urbervilles,J. Searle Dawley,Thomas Hardy,Tess of the D'Urbervilles,J. Searle Dawley,Thomas Hardy (novel),Tess of the D'Urbervilles,J. Searle Dawley,\N
tt0003749,\N,\N,\N,\N,\N,\N,The Captain Besley Expedition,Franklin B. Coates,\N,IMDb ID Not found,\N,\N
tt0005626,The Little Dutch Girl,Émile Chautard,\N,The Little Dutch Girl,Émile Chautard,\N,The Little Dutch Girl,Emile Chautard,E. Magnus Ingleton (scenario); Ouida (novel),The Little Dutch Girl,Émile Chautard,Eugenie Magnus Ingleton
tt0005921,Pretty Mrs. Smith,Hobart Bosworth,Elmer Harris,Pretty Mrs. Smith,Hobart Bosworth,Elmer Blaney Harris,Pretty Mrs. Smith,Hobart Bosworth,Elmer Harris (play); Elmer Harris (screenplay); Oliver Morosco (play),Pretty Mrs. Smith,Hobart Bosworth,Elmer Harris
tt0007102,\N,\N,\N,\N,\N,\N,Mu�ecos,Benito Perojo,Benito Perojo (screenplay); Benito Perojo (story),IMDb ID Not found,\N,\N
tt0007430,The Target,Norval MacGregor,Robert N. Bradbury,\N,\N,\N,The Target,Norval MacGregor,Ronald Bradbury,The Target,Norval MacGregor,Robert N. Bradbury
tt0008502,\N,\N,\N,The Red Ace,Jacques Jaccard,Jacques Jaccard,The Red Ace,Jacques Jaccard,Jacques Jaccard,IMDb ID Not found,\N,\N
tt0008855,\N,\N,\N,\N,\N,\N,El aventurero misterioso,Eusebio Fern�ndez Ardav�n,Eusebio Fern�ndez Ardav�n; Eusebio Fern�ndez Ardav�n,IMDb ID Not found,\N,\N
tt0009540,"The Red, Red Heart",Wilfred Lucas,\N,\N,\N,\N,"The Red, Red Heart",Wilfred Lucas,Bess Meredyth (adaptation); Honore Morrow (novel),"The Red, Red Heart",Wilfred Lucas,Bess Meredyth
tt0010317,\N,\N,\N,\N,\N,\N,Die Jugends�nde,Georg Alexander,Ludwig Anzengruber (play),IMDb ID Not found,\N,\N
tt0011436,\N,\N,\N,Q38047964,Georg Jacoby,Robert Liebmann,Der Mann ohne Namen - 1. Der Millionendieb,Georg Jacoby,Georg Jacoby; Robert Liebmann; Ewald Gerhard Seeliger (novel),IMDb ID Not found,\N,\N
tt0012177,Flor de España o la leyenda de un torero,Helena Cortesina; José María Granada,José María Granada,\N,\N,\N,Flor de Espa�a o La historia de un torero,Elena Cortesina; Jos� Mar�a Granada,Jos� Mar�a Granada (screenplay); Jos� Mar�a Granada (story),Flor de España o la leyenda de un torero,José María Granada; Helena Cortesina,José María Granada
tt0012403,Lonely Heart,John B. O'Brien,Edgar Selwyn,\N,\N,\N,Lonely Heart,John B. O'Brien,\N,Lonely Heart,John B. O'Brien,Anthony Paul Kelly
