tconst,tmdb_title,tmdb_directors,tmdb_writers,wikidata_title,wikidata_directors,wikidata_writers,cinemeta_title,cinemeta_directors,cinemeta_writers,letterboxd_title,letterboxd_directors,letterboxd_writers
tt0001993,\N,\N,\N,\N,camille de morlhon,abel gance,l'lectrocut,camille de morlhon,abel gance,\N,\N,\N
tt0002735,\N,\N,\N,the cameo,maurice tourneur,\N,le came,maurice tourneur,\N,\N,\N,\N
tt0003227,the unknown woman,mauritz stiller,hugo von hofmannsthal; mauritz stiller,"the girl from abroad; or, the great underworld",mauritz stiller,mauritz stiller,"the girl from abroad; or, the great underworld",mauritz stiller,hugo von hofmannsthal novel; mauritz stiller,the unknown woman,mauritz stiller,hugo von hofmannsthal; mauritz stiller
tt0003324,a regiment of two,george d baker; ralph ince,anthony e wills,a regiment of two,george d baker; ralph ince,\N,a regiment of two,george d baker; ralph ince,anthony e wills,a regiment of two,george d baker; ralph ince,anthony e wills
tt0003632,dear eva,robert wiene,\N,frau eva,artur berger; robert wiene,artur berger; robert wiene,arme eva,robert wiene,\N,dear eva,robert wiene,\N
tt0003887,\N,\N,\N,\N,\N,\N,entre ruinas,alberto marro; ricardo de baos,pedro giralt y alemany play,\N,\N,\N
tt0004435,the opened shutters,otis turner,\N,the opened shutters,otis turner,\N,the opened shutters,otis turner,clara louise burnham novel; lois weber adaptation,the opened shutters,otis turner,lois weber
tt0004493,the pride of jennico,j searle dawley,abby sage richardson; grace livingston furniss,the pride of jennico,j searle dawley,\N,the pride of jennico,j searle dawley,abby sage richardson novel; grace livingston furniss novel,the pride of jennico,j searle dawley,abby sage richardson; grace livingston furniss
tt0004519,\N,\N,\N,\N,\N,\N,the red flame of passion,\N,\N,\N,\N,\N
tt0004831,\N,\N,\N,\N,\N,\N,a woman who did,\N,\N,\N,\N,\N
tt0004926,\N,\N,\N,\N,\N,\N,authentic european war,\N,\N,\N,\N,\N
tt0004942,the battle cry of peace,j stuart blackton; wilfrid north,j stuart blackton,the battle cry of peace,j stuart blackton; wilfrid north,j stuart blackton,the battle cry of peace,j stuart blackton; wilfrid north,hudson maxim book; j stuart blackton,the battle cry of peace,j stuart blackton; wilfrid north,j stuart blackton
