tconst,tmdb_title,tmdb_directors,tmdb_writers,wikidata_title,wikidata_directors,wikidata_writers,cinemeta_title,cinemeta_directors,cinemeta_writers,letterboxd_title,letterboxd_directors,letterboxd_writers
tt0003442,tess of the d'urbervilles,j searle dawley,\N,tess of the d'urbervilles,j searle dawley,thomas hardy,tess of the d'urbervilles,j searle dawley,thomas hardy novel,tess of the d'urbervilles,j searle dawley,\N
tt0003749,\N,\N,\N,\N,\N,\N,the captain besley expedition,franklin b coates,\N,\N,\N,\N
tt0005626,the little dutch girl,emile chautard,\N,the little dutch girl,emile chautard,\N,the little dutch girl,emile chautard,e magnus ingleton scenario; ouida novel,the little dutch girl,emile chautard,eugenie magnus ingleton
tt0005921,pretty mrs. smith,hobart bosworth,elmer harris,pretty mrs. smith,hobart bosworth,elmer blaney harris,pretty mrs. smith,hobart bosworth,elmer harris play; elmer harris screenplay; oliver morosco play,pretty mrs. smith,hobart bosworth,elmer harris
tt0007102,\N,\N,\N,\N,\N,\N,muecos,benito perojo,benito perojo screenplay; benito perojo story,\N,\N,\N
tt0007430,the target,norval macgregor,robert n bradbury,\N,\N,\N,the target,norval macgregor,ronald bradbury,the target,norval macgregor,robert n bradbury
tt0008502,\N,\N,\N,the red ace,jacques jaccard,jacques jaccard,the red ace,jacques jaccard,jacques jaccard,\N,\N,\N
tt0008855,\N,\N,\N,\N,\N,\N,el aventurero misterioso,eusebio fernndez ardavn,eusebio fernndez ardavn,\N,\N,\N
tt0009540,"the red, red heart",wilfred lucas,\N,\N,\N,\N,"the red, red heart",wilfred lucas,bess meredyth adaptation; honore morrow novel,"the red, red heart",wilfred lucas,bess meredyth
tt0010317,\N,\N,\N,\N,\N,\N,die jugendsnde,georg alexander,ludwig anzengruber play,\N,\N,\N
tt0011436,\N,\N,\N,\N,georg jacoby,robert liebmann,der mann ohne namen - 1. der millionendieb,georg jacoby,ewald gerhard seeliger novel; georg jacoby; robert liebmann,\N,\N,\N
tt0012177,flor de espana o la leyenda de un torero,helena cortesina; jose maria granada,jose maria granada,\N,\N,\N,flor de espaa o la historia de un torero,elena cortesina; jos mara granada,jos mara granada screenplay; jos mara granada story,flor de espana o la leyenda de un torero,helena cortesina; jose maria granada,jose maria granada
tt0012403,lonely heart,john b obrien,edgar selwyn,\N,\N,\N,lonely heart,john b obrien,\N,lonely heart,john b obrien,anthony paul kelly
tt0013030,the cowboy and the lady,charles maigne,clyde fitch; julien josephson,the cowboy and the lady,charles maigne,julien josephson,the cowboy and the lady,charles maigne,clyde fitch play; julien josephson,the cowboy and the lady,charles maigne,clyde fitch; julien josephson
tt0014059,\N,\N,\N,frauenmoral,theo frenkel,\N,frauenmoral,theo frenkel,paul beyer; theo frenkel,\N,\N,\N
tt0014852,don't call it love,william c demille,clara beranger,don't call it love,william churchill demille,clara beranger,don't call it love,william c de mille,clara beranger; hubert osborne play; julian street novel,don't call it love,william c demille,clara beranger
tt0015647,a broadway lady,wesley ruggles,fred myton,broadway lady,wesley ruggles,\N,broadway lady,wesley ruggles,fred myton,a broadway lady,wesley ruggles,fred myton
tt0015793,fangs of wolfheart,charles r seeling,\N,\N,\N,\N,fangs of wolfheart,charles r seeling,\N,fangs of wolfheart,charles r seeling,\N
tt0016551,women and gold,james p hogan,james p hogan,women and gold,\N,\N,women and gold,james p hogan,betty grace hartford; james p hogan story,women and gold,james p hogan,betty grace hartford
tt0017500,the unknown cavalier,albert s rogell,marion jackson,the unknown cavalier,albert s rogell,\N,the unknown cavalier,albert s rogell,don ryan titles; kenneth perkins novel; marion jackson adaptation,the unknown cavalier,albert s rogell,marion jackson
tt0017743,chang: a drama of the wilderness,ernest b schoedsack; merian c cooper,achmed abdullah; ernest b schoedsack; merian c cooper,chang,ernest b schoedsack; merian c cooper,achmed abdullah; ernest b schoedsack; merian c cooper,chang: a drama of the wilderness,ernest b schoedsack; merian c cooper,achmed abdullah titles,chang: a drama of the wilderness,ernest b schoedsack; merian c cooper,achmed abdullah; ernest b schoedsack; merian c cooper
tt0017829,dress parade,donald crisp,alexander chilton; douglas z doty; herbert walters; robert glassburn,dress parade,donald crisp,\N,dress parade,donald crisp,\N,dress parade,donald crisp,douglas z doty
tt0018336,the romantic age,robert florey,dorothy howell,the romantic age,robert florey,\N,the romantic age,robert florey,dorothy howell screenplay; dorothy howell story,the romantic age,robert florey,dorothy howell
tt0018953,\N,\N,\N,the grain of dust,george archainbaud,gordon rigby,the grain of dust,george archainbaud,frances hyland; paul perez,\N,\N,\N
tt0020514,the trespasser,edmund goulding,edmund goulding,the trespasser,edmund goulding,edmund goulding,the trespasser,edmund goulding,edmund goulding,the trespasser,edmund goulding,edmund goulding
tt0020803,dames ahoy,william james craft,albert demond; matt taylor; sherman l lowe,\N,william james craft,sherman l lowe,dames ahoy,william james craft,albert demond; matt taylor; sherman l lowe,dames ahoy,william james craft,albert demond; matt taylor
tt0021404,the song of the flame,alan crosland,\N,song of the flame,alan crosland,gordon rigby,the song of the flame,alan crosland,\N,the song of the flame,alan crosland,gordon rigby
tt0021483,tom sawyer,john cromwell,grover jones; sam mintz; william slavens mcnutt,tom sawyer,john cromwell,grover jones,tom sawyer,john cromwell,grover jones; mark twain; william slavens mcnutt,tom sawyer,john cromwell,grover jones; sam mintz; william slavens mcnutt
tt0022101,\N,\N,\N,\N,\N,\N,m'blimey,j elder wills,ch dand; hans nieter,\N,\N,\N
tt0024950,three cornered hat,mario camerini,ercole patti; ivo perilli; mario soldati,the three-cornered hat,mario camerini,ercole patti; ivo perilli; mario soldati,three cornered hat,mario camerini,ercole patti screenplay; ivo perilli screenplay; mario soldati screenplay,three cornered hat,mario camerini,ercole patti; ivo perilli; mario soldati
tt0024952,caravan,erik charell,melchior lengyel; samson raphaelson,caravan,erik charell,samson raphaelson,caravan,erik charell,melchior lengyel; robert liebmann novel; samson raphaelson,caravan,erik charell,melchior lengyel; samson raphaelson
tt0025512,my heart is calling you,carmine gallone; serge veber,\N,mon cur t'appelle,carmine gallone,ernst marischka,mon coeur t'appelle,carmine gallone; serge vber,richard benson; robert edmunds,my heart is calling you,carmine gallone; serge veber,\N
tt0026542,jalna,john cromwell,anthony veiller,jalna,john cromwell,anthony veiller,jalna,john cromwell,\N,jalna,john cromwell,anthony veiller; garrett fort; lawrence p bachmann
tt0026546,the queen and the cardinal,abel gance,abel gance; paul fekete,jerome perreau heros des barricades,abel gance,abel gance,the queen and the cardinal,abel gance,abel gance,the queen and the cardinal,abel gance,abel gance; paul fekete
tt0027060,super speed,lambert hillyer,harold shumate,super speed,\N,\N,super-speed,lambert hillyer,harold shumate story,super speed,lambert hillyer,harold shumate
tt0027535,dont get personal,william nigh,clarence marks; edmund l hartmann; george waggner; houston branch; wilhelm thiele,don't get personal,william nigh,george waggner,don't get personal,charles lamont; william nigh,clarence marks screenplay; edmund l hartmann story; george waggner screenplay; houston branch screenplay; wilhelm thiele story,dont get personal,william nigh,clarence marks; george waggner; houston branch
tt0028220,savoy-hotel 217,gustav ucicky,gerhard menzel,savoy hotel 217,eduard von borsody; gustav ucicky,gerhard menzel,savoy-hotel 217,gustav ucicky,gerhard menzel screenplay,savoy-hotel 217,gustav ucicky,gerhard menzel
tt0029085,bubi,bela gaal,felix jackson; max kolpe,\N,\N,\N,bubi,bla gal,felix jackson screenplay; max kolp screenplay,bubi,bela gaal,felix jackson; max kolpe
tt0029141,love can lie,heinz helbig,erich ebermayer; franz wallnerbaste,love can lie,heinz helbig,\N,liebe kann lugen,heinz helbig,erich ebermayer; franz wallnerbaste; fred andreas,love can lie,heinz helbig,erich ebermayer; franz wallnerbaste
tt0029328,o.h.m.s.,raoul walsh,lesser samuels; ralph gilbert bettison,o.h.m.s.,raoul walsh,\N,you're in the army now,raoul walsh,austin melford scenario and additional dialogue; bryan edgar wallace scenario and additional dialogue; lesser samuels based on an original screenplay by; ralph gilbert bettison based on an original screenplay by,o.h.m.s.,raoul walsh,austin melford; bryan edgar wallace; lesser samuels; ralph gilbert bettison
tt0030981,wives under suspicion,james whale,ladislas fodor; myles connolly,wives under suspicion,james whale,myles connolly,wives under suspicion,james whale,ladislas fodor; myles connolly,wives under suspicion,james whale,myles connolly
tt0031655,\N,\N,\N,the minister's friend,viktor banky,\N,a miniszter baratja,viktor banky,istvan bekeffy; viktor banky,\N,\N,\N
tt0031703,mystery plane,george waggner,george waggner; hal forrest; paul schofield,mystery plane,george waggner,\N,mystery plane,george waggner,\N,mystery plane,george waggner,george waggner; paul schofield
tt0032793,military academy,d ross lederman,\N,military academy,d ross lederman,karl brown,military academy,d ross lederman,david silverstein; karl brown; richard english story,military academy,d ross lederman,\N
tt0033156,thou shalt not kill,john h auer,george carleton brown; robert presnell sr,\N,\N,\N,thou shalt not kill,john h auer,george carleton brown story; robert presnell sr screenplay,thou shalt not kill,john h auer,robert presnell sr
tt0033880,\N,\N,\N,\N,ivo perilli,nicola manzari,margherita and her three uncles,ivo perilli,nicola manzari; renato may,\N,\N,\N
tt0034417,"those were the days, senor don simon!",julio bracho,julio bracho,"ay, que tiempos, senor don simon!",julio bracho,\N,\N,\N,\N,"those were the days, senor don simon!",julio bracho,julio bracho; neftali beltran
tt0034497,battle troop,kajiro yamamoto,kajiro yamamoto,raigekitai shutsudo,kajiro yamamoto,\N,battle troop,kajir yamamoto,kajir yamamoto,battle troop,kajiro yamamoto,kajiro yamamoto
tt0034876,huella de luz,rafael gil,wenceslao fernandez florez,huella de luz,rafael gil,rafael gil; wenceslao fernandez florez,huella de luz,rafael gil,\N,huella de luz,rafael gil,rafael gil; wenceslao fernandez florez
tt0034887,\N,\N,\N,\N,\N,\N,idyll in mallorca,max neufeld,flix aguilera; max neufeld screenplay; max neufeld story,\N,\N,\N
tt0035028,man from headquarters,jean yarbrough,john w krafft,man from headquarters,jean yarbrough,\N,man from headquarters,jean yarbrough,edmond kelso additional dialogue; john w krafft screenplay; rollo lloyd,man from headquarters,jean yarbrough,john w krafft
tt0035220,private snuffy smith,edward f cline,doncho hall; jack henley; john grey; lloyd french,private snuffy smith,edward f cline,billy debeck,private snuffy smith,edward f cline,billy debeck comic strip barney google and snuffy smith; doncho hall original screenplay; jack henley original screenplay; john grey original screenplay; lloyd french original screenplay,private snuffy smith,edward f cline,doncho hall; jack henley; john grey; lloyd french
