tconst,tmdb_title,tmdb_directors,tmdb_writers,wikidata_title,wikidata_directors,wikidata_writers
tt0001993,\N,\N,\N,\N,camille de morlhon,abel gance
tt0002735,\N,\N,\N,the cameo,maurice tourneur,\N
tt0003227,the unknown woman,mauritz stiller,hugo von hofmannsthal; mauritz stiller,"the girl from abroad; or, the great underworld",mauritz stiller,mauritz stiller
tt0003324,a regiment of two,george d baker; ralph ince,anthony e wills,a regiment of two,george d baker; ralph ince,\N
tt0003632,dear eva,robert wiene,\N,frau eva,artur berger; robert wiene,artur berger; robert wiene
tt0003887,\N,\N,\N,\N,\N,\N
tt0004435,the opened shutters,otis turner,\N,the opened shutters,otis turner,\N
tt0004493,the pride of jennico,j searle dawley,abby sage richardson; grace livingston furniss,the pride of jennico,j searle dawley,\N
tt0004519,\N,\N,\N,\N,\N,\N
tt0004831,\N,\N,\N,\N,\N,\N
tt0004926,\N,\N,\N,\N,\N,\N
tt0004942,the battle cry of peace,j stuart blackton; wilfrid north,j stuart blackton,the battle cry of peace,j stuart blackton; wilfrid north,j stuart blackton
tt0004950,the beachcomber,phil rosen,\N,the beachcomber,phil rosen,\N
tt0005041,\N,\N,\N,the butterfly on the wheel,maurice tourneur,edward hemmerde
tt0005172,the darkening trail,william s hart,c gardner sullivan,the darkening trail,william s hart,c gardner sullivan
tt0005689,the majesty of the law,julia crawford ivers,julia crawford ivers,the majesty of the law,julia crawford ivers,\N
tt0005928,the prince and the pauper,edwin s porter; hugh ford,hugh ford,the prince and the pauper,edwin stanton porter,mark twain
tt0006043,the silent voice,william bowman,\N,the silent voice,william bowman,\N
tt0006773,the heart of a hero,emile chautard,frances marion,the heart of a hero,emile chautard; george archainbaud,frances marion
tt0007458,thrown to the lions,lucius henderson,norbert lusk; wallace irwin,thrown to the lions,lucius j henderson,\N
tt0007655,\N,\N,\N,the auction block,laurence trimble,\N
tt0007926,the fair barbarian,robert thornby,edith m kennedy,the fair barbarian,robert thornby,\N
tt0008202,\N,\N,\N,the lonesome chap,edward lesaint,harvey gates
tt0008459,\N,\N,\N,the primitive call,bertram bracken,\N
tt0008466,\N,\N,\N,\N,\N,\N
tt0008521,the rose of blood,j gordon edwards,bernard mcconville; ryszard ordynski,the rose of blood,j gordon edwards,bernard mcconville
tt0009110,the girl who wouldn't quit,edgar jones,james oliver curwood,the girl who wouldn't quit,edgar jones,\N
tt0009319,love me,roy william neill,\N,love me,roy william neill,c gardner sullivan
tt0009325,the lure of the circus,jp mcgowan,hope loring; william e wing,the lure of the circus,j p mcgowan,hope loring
tt0009521,the prodigal wife,frank reicher,edith barnard delano,the prodigal wife,frank reicher,\N
tt0009559,a romance of happy valley,dw griffith,dw griffith; mary castelman,a romance of happy valley,d w griffith,\N
tt0009595,\N,\N,\N,the secret woman,ae coleby,eden phillpotts
tt0009650,the squaw man,cecil b demille,beulah marie dix,the squaw man,anne bauchens; cecil b demille; sam wood,beulah marie dix
tt0009965,\N,\N,\N,breezy jim,lorimer johnston,\N
tt0010389,the lottery man,james cruze,elmer harris; frank urson,the lottery man,james cruze,frank urson
tt0010534,the other half,king vidor,king vidor,the other half,king vidor,king vidor
tt0010536,the other,eduardo zamacois; juan maria codina,eduardo zamacois,\N,\N,\N
tt0010742,\N,\N,\N,\N,\N,\N
tt0010934,\N,\N,\N,ray of sunshine,theo frenkel,theo frenkel
tt0011166,eyes of the heart,paul powell,clara genevieve kennedy; dana burnet,eyes of the heart,paul powell,clara genevieve kennedy
tt0011167,the face at your window,richard stanton,max marcin,the face at your window,richard stanton,edward sedgwick; max marcin
tt0011280,helleveeg,theo frenkel sr,theo frenkel sr,helleveeg,theo frenkel,theo frenkel
tt0011483,mothers of men,edward jose,charles e whittaker; de witte kaplan,mothers of men,edward jose,\N
tt0011616,the red lane,lynn reynolds,violet clark,the red lane,lynn reynolds,\N
tt0011625,the riddle: woman,edward jose,charlotte e wells; dorothy donnelly; john b clymer,the riddle: woman,edward jose,charlotte e wells; dorothy donnelly; john b clymer
tt0011726,a splendid hazard,allan dwan,\N,a splendid hazard,arthur rosson,\N
tt0011784,trailed by three,perry n vekroff,charles t dazey,trailed by three,perry n vekroff,\N
tt0012016,buried treasure,george d baker,\N,buried treasure,george d baker,\N
tt0012065,\N,\N,\N,o condenado,\N,\N
tt0012446,mann uber bord,karl grune,georg franck; karl grune,man overboard,karl grune,\N
tt0012586,the primal law,bernard j durning,\N,the primal law,bernard durning,paul schofield
tt0013366,man with two mothers,paul bern,\N,\N,paul bern,\N
tt0013415,\N,\N,\N,\N,\N,\N
tt0013437,\N,\N,\N,\N,\N,\N
tt0013484,\N,\N,\N,\N,\N,\N
tt0013732,versunkene welten,siegfried philippi,\N,sunken worlds,siegfried philippi,\N
tt0013746,western speed,cr wallace; scott r dunlap; william wallace,scott r dunlap,western speed,scott r dunlap,\N
tt0013814,abysmal brute,hobart henley,ap younger,the abysmal brute,hobart henley,\N
tt0014206,\N,\N,\N,the little red schoolhouse,john g adolfi,\N
tt0014341,our hospitality,buster keaton; john g blystone,clyde bruckman; jean c havez; joseph a mitchell,our hospitality,buster keaton; john g blystone,clyde bruckman; jean havez; joseph a mitchell
