tconst,tmdb_title,tmdb_directors,tmdb_writers,wikidata_title,wikidata_directors,wikidata_writers
tt0003442,tess of the d'urbervilles,j searle dawley,\N,tess of the d'urbervilles,j searle dawley,thomas hardy
tt0003749,\N,\N,\N,\N,\N,\N
tt0005626,the little dutch girl,emile chautard,\N,the little dutch girl,emile chautard,\N
tt0005921,pretty mrs. smith,hobart bosworth,elmer harris,pretty mrs. smith,hobart bosworth,elmer blaney harris
tt0007102,\N,\N,\N,\N,\N,\N
tt0007430,the target,norval macgregor,robert n bradbury,\N,\N,\N
tt0008502,\N,\N,\N,the red ace,jacques jaccard,jacques jaccard
tt0008855,\N,\N,\N,\N,\N,\N
tt0009540,"the red, red heart",wilfred lucas,\N,\N,\N,\N
tt0010317,\N,\N,\N,\N,\N,\N
tt0011436,\N,\N,\N,\N,georg jacoby,robert liebmann
tt0012177,flor de espana o la leyenda de un torero,helena cortesina; jose maria granada,jose maria granada,\N,\N,\N
tt0012403,lonely heart,john b obrien,edgar selwyn,\N,\N,\N
tt0013030,the cowboy and the lady,charles maigne,clyde fitch; julien josephson,the cowboy and the lady,charles maigne,julien josephson
tt0014059,\N,\N,\N,frauenmoral,theo frenkel,\N
tt0014852,don't call it love,william c demille,clara beranger,don't call it love,william churchill demille,clara beranger
tt0015647,a broadway lady,wesley ruggles,fred myton,broadway lady,wesley ruggles,\N
tt0015793,fangs of wolfheart,charles r seeling,\N,\N,\N,\N
tt0016551,women and gold,james p hogan,james p hogan,women and gold,\N,\N
tt0017500,the unknown cavalier,albert s rogell,marion jackson,the unknown cavalier,albert s rogell,\N
tt0017743,chang: a drama of the wilderness,ernest b schoedsack; merian c cooper,achmed abdullah; ernest b schoedsack; merian c cooper,chang,ernest b schoedsack; merian c cooper,achmed abdullah; ernest b schoedsack; merian c cooper
tt0017829,dress parade,donald crisp,alexander chilton; douglas z doty; herbert walters; robert glassburn,dress parade,donald crisp,\N
tt0018336,the romantic age,robert florey,dorothy howell,the romantic age,robert florey,\N
tt0018953,\N,\N,\N,the grain of dust,george archainbaud,gordon rigby
tt0020514,the trespasser,edmund goulding,edmund goulding,the trespasser,edmund goulding,edmund goulding
tt0020803,dames ahoy,william james craft,albert demond; matt taylor; sherman l lowe,\N,william james craft,sherman l lowe
tt0021404,the song of the flame,alan crosland,\N,song of the flame,alan crosland,gordon rigby
tt0021483,tom sawyer,john cromwell,grover jones; sam mintz; william slavens mcnutt,tom sawyer,john cromwell,grover jones
tt0022101,\N,\N,\N,\N,\N,\N
tt0024950,three cornered hat,mario camerini,ercole patti; ivo perilli; mario soldati,the three-cornered hat,mario camerini,ercole patti; ivo perilli; mario soldati
tt0024952,caravan,erik charell,melchior lengyel; samson raphaelson,caravan,erik charell,samson raphaelson
tt0025512,my heart is calling you,carmine gallone; serge veber,\N,mon cur t'appelle,carmine gallone,ernst marischka
tt0026542,jalna,john cromwell,anthony veiller,jalna,john cromwell,anthony veiller
tt0026546,the queen and the cardinal,abel gance,abel gance; paul fekete,jerome perreau heros des barricades,abel gance,abel gance
tt0027060,super speed,lambert hillyer,harold shumate,super speed,\N,\N
tt0027535,dont get personal,william nigh,clarence marks; edmund l hartmann; george waggner; houston branch; wilhelm thiele,don't get personal,william nigh,george waggner
tt0028220,savoy-hotel 217,gustav ucicky,gerhard menzel,savoy hotel 217,eduard von borsody; gustav ucicky,gerhard menzel
tt0029085,bubi,bela gaal,felix jackson; max kolpe,\N,\N,\N
tt0029141,love can lie,heinz helbig,erich ebermayer; franz wallnerbaste,love can lie,heinz helbig,\N
tt0029328,o.h.m.s.,raoul walsh,lesser samuels; ralph gilbert bettison,o.h.m.s.,raoul walsh,\N
tt0030981,wives under suspicion,james whale,ladislas fodor; myles connolly,wives under suspicion,james whale,myles connolly
tt0031655,\N,\N,\N,the minister's friend,viktor banky,\N
tt0031703,mystery plane,george waggner,george waggner; hal forrest; paul schofield,mystery plane,george waggner,\N
tt0032793,military academy,d ross lederman,\N,military academy,d ross lederman,karl brown
tt0033156,thou shalt not kill,john h auer,george carleton brown; robert presnell sr,\N,\N,\N
tt0033880,\N,\N,\N,\N,ivo perilli,nicola manzari
tt0034417,"those were the days, senor don simon!",julio bracho,julio bracho,"ay, que tiempos, senor don simon!",julio bracho,\N
tt0034497,battle troop,kajiro yamamoto,kajiro yamamoto,raigekitai shutsudo,kajiro yamamoto,\N
tt0034876,huella de luz,rafael gil,wenceslao fernandez florez,huella de luz,rafael gil,rafael gil; wenceslao fernandez florez
tt0034887,\N,\N,\N,\N,\N,\N
tt0035028,man from headquarters,jean yarbrough,john w krafft,man from headquarters,jean yarbrough,\N
tt0035220,private snuffy smith,edward f cline,doncho hall; jack henley; john grey; lloyd french,private snuffy smith,edward f cline,billy debeck
