tconst,omdb_title,omdb_directors,omdb_writers
tt0001993,L'électrocuté,Camille de Morlhon,Abel Gance
tt0002735,Le camée,Maurice Tourneur,\N
tt0003227,"The Girl from Abroad; or, The Great Underworld",Mauritz Stiller,Karl-Ludwig Schröder; Mauritz Stiller; Hugo von Hofmannsthal
tt0003324,A Regiment of Two,George D. Baker; Ralph Ince,Anthony E. Wills
tt0003632,Arme Eva,Robert Wiene,\N
tt0003887,Entre ruinas,Ricardo de Baños; Alberto Marro,Pedro Giralt y Alemany (play)
tt0004435,The Opened Shutters,Otis Turner,Clara Louise Burnham; Lois Weber
tt0004493,The Pride of Jennico,J. Searle Dawley,Grace Livingston Furniss (novel); Abby Sage Richardson (novel)
tt0004519,The Red Flame of Passion,\N,\N
tt0004831,A Woman Who Did,\N,\N
tt0004926,Authentic European War,\N,\N
tt0004942,The Battle Cry of Peace,J. Stuart Blackton; Wilfrid North,J. Stuart Blackton; Hudson Maxim
tt0004950,The Beachcomber,Phil Rosen,Hobart Bosworth
tt0005041,A Butterfly on the Wheel,Maurice Tourneur,Edward Hemmerde; E. Magnus Ingleton; Francis Neilson
tt0005172,The Darkening Trail,William S. Hart,C. Gardner Sullivan
tt0005689,The Majesty of the Law,Julia Crawford Ivers,Julia Crawford Ivers
tt0005928,The Prince and the Pauper,Hugh Ford; Edwin S. Porter,Hugh Ford; Mark Twain
tt0006043,The Silent Voice,William Bowman,Jules Eckert Goodman; I.K. Freedman; Eve Unsell
tt0006773,The Heart of a Hero,Emile Chautard,Clyde Fitch; Frances Marion
tt0007458,Thrown to the Lions,Lucius Henderson,Wallace Irwin; Norbert Lusk
tt0007655,The Auction Block,Laurence Trimble,Rex Beach; Adrian Gil-Spear
tt0007926,The Fair Barbarian,Robert Thornby,Frances Hodgson Burnett; Edith M. Kennedy
tt0008202,The Lonesome Chap,Edward LeSaint,Harvey Gates; Emma Rochelle Williams
tt0008459,The Primitive Call,Bertram Bracken,Bertram Bracken
tt0008466,The Princess' Necklace,Floyd France,Clare Freeman Alger; E. Clement D'Art
tt0008521,The Rose of Blood,J. Gordon Edwards,Bernard McConville; Ryszard Ordynski
tt0009110,The Girl Who Wouldn't Quit,Edgar Jones,James Oliver Curwood; Doris Schroeder
tt0009319,Love Me,Roy William Neill,C. Gardner Sullivan (scenario)
tt0009325,The Lure of the Circus,J.P. McGowan,William E. Wing; Hope Loring
tt0009521,The Prodigal Wife,Frank Reicher,Edith Barnard Delano; Eve Unsell
tt0009559,A Romance of Happy Valley,D.W. Griffith,Mary Castelman; D.W. Griffith
tt0009595,The Secret Woman,A.E. Coleby,Eden Phillpotts (novel); Rowland Talbot
