tconst,omdb_title,omdb_directors,omdb_writers
tt0089839,Private Resort,George Bowers,Gordon Mitchell; Ken Segall; Alan Wenkus
tt0090001,Sezon chudes,Georgi Yungvald-Khilkevich,Sergei Abramov
tt0090011,It's a Drink! It's a Bomb!,David Chung,Kan-Cheung Tsang
tt0090205,Tristesse et beauté,Joy Fleury,Joy Fleury; Pierre Grillet; Yasunari Kawabata
tt0090351,Yerma,Imre Gyöngyössy; Barna Kabay,Federico García Lorca; Imre Gyöngyössy; Barna Kabay
tt0090645,Anjaam,T. Hariharan,N/A
tt0090689,Ballad of dog beach,José Fonseca e Costa,Pedro Bandeira-Freire; José Cardoso Pires; José Fonseca e Costa
tt0091389,Lata dwudzieste... lata trzydzieste...,Janusz Rzeszewski,Ryszard Marek Gronski; Michal Komar
tt0091540,The Devils of Monza,Luciano Odorisio,Gino Capone; Carlo Lizzani; Luciano Odorisio
tt0091729,Pasos Largos: El último bandido andaluz,Rafael Moreno Alba,Rafael Moreno Alba
tt0092051,Escape from Coral Cove,Terence Chang,Terence Chang; Man-Kei Yiu
tt0092088,Three Daughters,Candida Royalle,Candida Royalle
tt0092513,Adventures in Babysitting,Chris Columbus,David Simkins
tt0092574,Apellyatsiya,Valeriy Guryanov,Viktor Grebenyuk; Eduard Volodarskiy
tt0092682,Love Boat,Arduino Sacco,N/A
tt0092906,Dolls,Stuart Gordon,Ed Naha
tt0092946,Echoes of Paradise,Phillip Noyce,Jan Sharp; Anne Brooksbank
tt0092964,Empire State,Ron Peck,Mark Ayres; Ron Peck
tt0093002,Fakta homma,Jukka Virtanen,Riitta Havukainen; Taneli Mäkelä; Eija Vilpas
tt0093183,The Hero's Journey: The World of Joseph Campbell,Janelle Balnicke; David Kennard,Janelle Balnicke; Phil Cousineau; William Free
tt0093291,Jak básníkum chutná zivot,Dusan Klein,Dusan Klein; Ladislav Pechácek
tt0093321,Juillet en septembre,Sébastien Japrisot,Sébastien Japrisot
tt0093336,The Cat,Dominik Graf,Uwe Erichsen; Christoph Fromm
tt0093418,Like Father Like Son,Rod Daniel,Lorne Cameron; Steve Bloom; David Hoselton
tt0093778,The Princess Academy,Bruce A. Block,Sandra Weintraub
tt0093804,Seven Years Itch,Johnnie To,Raymond Pak-Ming Wong
tt0093810,O Querido Lilás,Artur Semedo,Herman José; João Lopes; Artur Semedo
tt0094023,Stacking,Martin Rosen,Victoria Jenkins
tt0094818,Bush Shrink,Ivan Hall,Bruce Keating; Richard Schiller
tt0094822,Baton Rouge,Rafael Moleón,Agustín Díaz Yanes; Rafael Moleón
tt0095120,Evil Laugh,Dominick Brascia,Steven Baio; Dominick Brascia
tt0095363,In Dangerous Company,Ruben Preuss,Mitch Brown
tt0095423,Stones of Death,James Bogle,Ian Coughlan
tt0095435,Kein Liebeslied an österreich,Hermann Peseckas,N/A
tt0095493,Last Platoon,Ignazio Dolce,Tito Carpi
tt0095582,Mangeclous,Moshé Mizrahi,Albert Cohen; Moshé Mizrahi
tt0095811,Pacto de sangre,Malena Roncayolo,N/A
tt0096180,Stormy Monday,Mike Figgis,Mike Figgis
tt0096223,Tapeheads,Bill Fishman,Bill Fishman; Peter McCarthy; Jim Herzfeld
tt0096386,Life Is a Long Quiet River,Étienne Chatiliez,Étienne Chatiliez; Florence Quentin
tt0096744,84C MoPic,Patrick Sheane Duncan,Patrick Sheane Duncan
tt0096917,Beverly Hills Bodysnatchers,Jonathan Mostow,Jonathan Mostow; P.K. Simonds
tt0096944,Blind Fear,Tom Berry,Sergio Altieri
tt0097020,Cas sluhu,Irena Pavlásková,Irena Pavlásková
tt0097129,Crossing the Line,Gary Graver,James Ryan; Rick Marcus
tt0097144,Codename Cougar,Yimou Zhang; Fengliang Yang,Shiqing Cheng
tt0097241,Drunk,Hubert Sielecki,N/A
tt0097348,The Unmatchable Match,Parkman Wong,Parkman Wong; James Fung; Andy Chi Keung Liu
tt0097474,Halloween 5: The Revenge of Michael Myers,Dominique Othenin-Girard,John Carpenter; Debra Hill; Michael Jacobs
tt0097477,"Hanna Monster, Liebling",Christian Berger,Christian Berger
tt0097624,Into the Night,Kin Lo,Kin Lo
tt0098409,Suivez cet avion,Patrice Ambard,Patrice Ambard; Alain Etève
tt0098437,The Winter War,Pekka Parikka,Pekka Parikka; Antti Tuuri
tt0098687,Ye feng kuang,Tai-Kit Mak,Ga-gou Chi; Tai-Kit Mak; Pak-Chi Muk
tt0099498,Empire of the Dark,Steve Barkett,Steve Barkett
tt0099593,The Fool,Christine Edzard,Christine Edzard; Olivier Stockman
tt0099689,Gosses de Rio,Thierry Michel,N/A
tt0099871,Jacob's Ladder,Adrian Lyne,Bruce Joel Rubin
tt0100031,Lisa,Gary Sherman,Gary Sherman; Karen Clark
tt0100045,Lung Fung Restaurant,Man Kit Poon,Chi-Keung Hau; Wai-Chung Yip
tt0100301,Opportunity Knocks,Donald Petrie,Mitchel Katlin; Nat Bernstein
tt0100362,Philosophie der Ameise: Die Geschichte der letzten Menschheit hat begonnen,Michael Satzinger,N/A
tt0100420,O Processo do Rei,João Mário Grilo,Daniel Arasse; João Mário Grilo; Colin Thiele
tt0100707,Streets,Katt Shea,Andy Ruben; Katt Shea
tt0100820,Tugumi,Jun Ichikawa,Jun Ichikawa; Banana Yoshimoto
tt0100836,Un amour de trop,Franck Landron,Franck Landron; Philippe Le Guay; Pierre Schoeller
tt0100915,What the Moon Saw,Pino Amenta,Frank Howson
tt0101262,Aasmaan Se Gira,Pankaj Parashar,N/A
tt0101284,Akayla,Ramesh Sippy,Salim Khan
tt0101526,Children of Nature,Friðrik Þór Friðriksson,Friðrik Þór Friðriksson; Einar Guðmundsson
tt0101745,Doc Hollywood,Michael Caton-Jones,Neil B. Shulman; Laurian Leggett; Jeffrey Price
tt0101847,Le fabuleux voyage de l'ange,Jean Pierre Lefebvre,Normand Desjardins; Jean Pierre Lefebvre
tt0101955,The Giving,Eames Demetrios,Eames Demetrios
tt0102278,Latajace machiny kontra pan Samochodzik,Janusz Kidawa,Janusz Kidawa; Zbigniew Nienacki
tt0102540,Nix Multikulti,Marion Wiesinger; Hannes Zimmermann,N/A
tt0102608,Otel 'Edem',Vladimir Lyubomudrov,Anatoli Galiyev; Vladimir Lyubomudrov
tt0102737,The Magnificent Scoundrels,Lik-Chi Lee,Lik-Chi Lee; Yiu-Ming Leung; Wellington Fung
