tconst,directors,writers
tt30811257,nm2653192,\N
tt30869594,nm5763277,nm5763277
tt30970776,nm0683900,nm12068469
tt3101360,nm11014433,nm11014433
tt3116676,\N,nm5872617
tt3118628,nm0067946,nm0067946;nm2144991
tt31227538,nm15812897;nm0953805,nm0953805
tt31250833,nm1857470,nm5926857;nm1127154
tt31315981,nm0625621,nm0179132;nm4571467;nm0614436;nm0625621;nm12238107;nm4571481
tt3137432,nm0766499,nm5894114;nm0766499
tt31461677,nm1832706,nm1832706
tt3146264,nm2488601,nm5904246
tt31530596,nm0836784,nm1734479;nm3407911
tt3153946,\N,\N
tt3159590,nm0147261,nm1028275
tt3162700,\N,nm5772304
tt3165210,nm3069725;nm2625253,nm2625253;nm1409098
tt31795947,nm0426851,nm0426851
tt31797357,nm15057451,nm15057451
tt3181098,nm4728778,nm4728778
tt31840715,nm6355283,nm6355283
tt31887309,nm13670022,nm13670022
tt31921921,nm0778841;nm0762351,nm0762351;nm0778841
tt31947358,nm1387046,nm1387046
tt32055882,nm0650601,nm0650601
tt32056002,nm14862821,nm14862821
tt3214416,nm5973447,nm5973447
tt3218102,\N,nm4121001;nm5938554
tt32230042,nm2489328,nm4755154
tt32253253,nm12454776,nm12454776
tt3228096,nm0052897,nm0052897;nm1450724
tt32306046,nm1374530,nm8317725;nm1374530
tt32331122,\N,nm12387476
tt32351535,nm0574615,\N
tt32364470,nm14214887,\N
tt32386450,nm5447480;nm13159778,nm13159778;nm16150047;nm13156979
tt32439503,nm16169950,nm13444677
tt3245986,nm0052897,nm0451751
tt32462777,nm8299992,nm8299992
tt3249810,nm1597897,nm1757155;nm1597897
tt32525026,nm9333238,nm9333238
tt32534879,nm11983837,nm11983837
tt32552126,nm1665905,nm0252776;nm8944222
tt3257072,nm3640095,nm4728872;nm3640095
tt32619284,nm13174603,nm13174603
tt32636374,\N,nm0834365
tt32638930,nm13033498;nm16272517,\N
tt32657611,nm1781407,\N
tt32793394,\N,nm16077411
tt32857098,nm3761311,nm3761311;nm6041683
tt32857644,\N,nm4223619
tt32897959,nm2193504,nm0111577;nm2193504
tt32912054,nm4011579,nm4011579
tt3293908,\N,nm2912749;nm3670452
tt33089694,nm16370432,\N
tt3311926,nm0031216,nm0031216
tt33130645,nm6046774,\N
tt33222127,nm3131705,nm3131705
tt33246826,nm2655716,nm2655716
tt33268513,nm2915063,nm2915063
tt33290198,\N,nm16469285
tt33307005,nm13923941,nm13923941
tt3332968,nm0605245,nm0406808
tt33384837,nm0542478,\N
tt33396612,nm13585246,nm6102337;nm13585246;nm10058042;nm8296813;nm4536535
tt33397286,nm13773371,nm9932684
tt33484595,nm1788012,\N
tt3348972,\N,\N
tt33501737,nm16558078,\N
tt33558791,nm10918961,nm10918961
tt33624148,nm1869126,nm16584952
tt33886437,\N,\N
tt3396080,nm3927991,nm5425554
tt3407994,nm6156632,nm6156632
tt3410834,nm0777881,nm3834300;nm0177836;nm0171651;nm4316121
tt3416664,\N,nm3545668
tt3419394,nm3375937;nm3592001,nm6169265;nm3375937;nm3592001
tt34228359,\N,nm9410376;nm2864390
tt3426066,nm6176230,\N
tt3432888,nm6183784,nm6183784
tt34383795,nm1849326,nm1479378;nm1849326
