tconst,directors,writers
tt0003442,nm0205986,nm0362762
tt0003749,nm0167633,\N
tt0005626,nm0154352,nm0408863;nm0653536
tt0005921,nm0098376,nm0364668;nm0606092
tt0007102,nm0674398,nm0674398
tt0007430,nm0532349,nm0102908
tt0008502,nm0413045,nm0413045
tt0008855,nm0273203,nm0273203
tt0009540,nm0524306,nm0580648;nm0607500
tt0010317,nm0018437,nm0031751
tt0011436,nm0414985,nm0414985;nm0509510;nm0781605
tt0012177,nm0181317;nm0334612,nm0334612
tt0012403,nm0639631,nm0129721;nm0446189;nm0783629
tt0013030,nm0537510,nm0280003;nm0430756
tt0014059,nm0294276,nm1703665;nm0294276
tt0014852,nm0210352,nm0073238;nm0651661;nm0834080
tt0015647,nm0749484,nm0617202
tt0015793,nm0781601,\N
tt0016551,nm0003373,nm0366688;nm0003373
tt0017500,nm0736610,nm0673988;nm0413821;nm0752514
tt0017743,nm0178260;nm0774325,nm0008280;nm0178260;nm0774325
tt0017829,nm0187981,nm0234608;nm0469166;nm0322034;nm1108768;nm1111252
tt0018336,nm0282984,nm0397963
tt0018953,nm0002179,nm0405081;nm0673585;nm0680345;nm0726588
tt0020514,nm0332539,nm0332539
tt0020803,nm0185714,nm0523046;nm0218626;nm0852864
tt0021404,nm0189076,nm0358564;nm0361877;nm0726588
tt0021483,nm0188669,nm0878494;nm0428177;nm0574112;nm0591791
tt0022101,nm0932625,nm0199223;nm0631262;nm0841581;nm0932625
tt0024950,nm0131460,nm0666473;nm0673773;nm0812827;nm0016043
tt0024952,nm0152834,nm0152834;nm0473134;nm0501872;nm0509510;nm0710723;nm0727999;nm0887988;nm0956599
tt0025512,nm0303120;nm0891561,nm0548094;nm0696247
tt0026542,nm0188669,nm0209376;nm0287124;nm0045512;nm0892044
tt0026546,nm0304098,nm0243519;nm0299641;nm0304098
tt0027060,nm0385171,nm0795851
tt0027535,nm0631438,nm0857949;nm0367060;nm0905729;nm0548788;nm0104355
tt0028220,nm0879802,nm0579951
tt0029085,nm0311174,nm0464378;nm0413519
tt0029141,nm0374871,nm0028225;nm0248108;nm0909336
tt0029328,nm0909825,nm0760488;nm0079369;nm0577650;nm0908550
tt0030981,nm0001843,nm0175333;nm0283780
tt0031655,nm0126565,nm0126565;nm0126764
tt0031703,nm0905729,nm0774539;nm0905729;nm0286643
tt0032793,nm0496505,nm0113954;nm0799027;nm0257669
tt0033156,nm0041678,nm0696190;nm0113624
tt0033880,nm0673773,nm0544457;nm0562103;nm0777943
tt0034417,nm0102749,nm0069667;nm0102749
tt0034497,nm0945428,nm0945428
tt0034876,nm0317856,nm0273273;nm0317856
tt0034887,nm0626885,nm0013629;nm0626885
tt0035028,nm0946391,nm0469166;nm0447071;nm0516121
tt0035220,nm0166836,nm0213362;nm0340599;nm0377127;nm0294137;nm0355513
tt0037856,nm0636147,nm0356839;nm0433953
tt0038428,nm0623401,nm0155519
tt0038504,nm0736610,nm0318602;nm0506575
tt0038582,nm0397678,nm0378540;nm0551869
tt0038878,nm0792450,nm0795851;nm0506544;nm0267020
tt0039068,nm0148616,nm0148616;nm1780025;nm0854502
tt0040489,nm0064415,nm0786545;nm0752878;nm0774205;nm0326554
tt0041332,nm0287931,nm0287931;nm0107130;nm0041140
tt0042566,nm0015648,nm0015648
tt0044122,nm0000406,nm0068650
tt0045619,nm0782682,nm0795730;nm0269620
tt0045809,\N,\N
tt0046237,nm0645041,nm0645041;nm0252475
tt0046718,nm0013255,\N
tt0047027,nm0554924,nm0037061;nm0273211;nm0261576
tt0048283,nm0001328,nm0001203;nm0475823;nm0089169
tt0049108,nm0696248;nm0333573,nm0175091;nm0286601
tt0049784,nm0654868,nm0633792;nm0654868
tt0050910,nm0718838,nm0533283;nm0200272
tt0053337,nm0333650,nm0333650
tt0054285,nm0538032,nm0600379;nm0211457;nm0079748;nm0538032
tt0055613,nm0727211,nm0142622;nm0455149
tt0056289,nm0703689,nm0312205;nm0001175;nm0789100
tt0056468,nm0001120,nm0953790;nm0542631;nm0765683
tt0056935,\N,nm0674518
tt0057076,nm0950109,nm0537363;nm0367820;nm0001220;nm0558435
tt0057189,nm0196536,nm0777202;nm0441197
tt0059036,nm0182913,nm0182913;nm0698782;nm0652811;nm0723039;nm0248349;nm0345409
tt0059043,nm0943758,nm0288826;nm0463385;nm0542970;nm0816143
tt0059482,nm0288408,nm0515819;nm0763126;nm0288408
tt0059551,nm0053084,nm0053084;nm0647373
tt0061180,nm0285302,nm0630494;nm0285302
tt0061437,nm0247635,nm0247635;nm0247652
tt0061441,nm0679002,nm0679002;nm1414028;nm1403950
tt0061828,nm0814773,nm0814773;nm0814242
tt0061877,nm0040789,nm0040789;nm0749013;nm0800548;nm0411271
tt0062231,nm0896892,nm0896892
tt0062863,nm0002153,nm0532030;nm0818649;nm0810335
tt0063142,nm0406625;nm0384335,nm0384335;nm0406625;nm0894028
tt0063190,nm0025945,nm0025945;nm0526520
tt0063556,nm0280718,nm0135641;nm0139536;nm0149034;nm0208086;nm0280718;nm0349437;nm0553916;nm0554693
tt0063760,nm0198786,nm0029350;nm0198786;nm0334526
tt0064119,nm0538987,nm0166405;nm0538987
tt0064208,nm0678101,nm0898812
tt0064243,nm0346297,nm0002759;nm0553916
tt0064667,nm0382019,nm0382019;nm0382044;nm0642057
tt0066470,nm0649563,nm0759453;nm0380351;nm0590274;nm0733366
tt0067493,nm0945617,nm0633986
tt0067695,nm0608740,nm0017956
tt0069147,nm0673051,nm0496236;nm1276671;nm0673051
tt0069224,nm0368688,nm0368688
tt0069702,nm0387354,nm2682221
tt0070049,nm0497379,nm0497379
tt0070124,nm0001115,nm0295099;nm0818598
