movie_title,directors_names,writers_names
Tess of the D'Urbervilles,J. Searle Dawley,Thomas Hardy
The Captain Besley Expedition,Franklin B. Coates,\N
The Little Dutch Girl,Emile Chautard,"E. Magnus Ingleton, Ouida"
Pretty Mrs. Smith,Hobart Bosworth,"Elmer Harris, Oliver Morosco"
Muñecos,Benito Perojo,Benito Perojo
The Target,Norval MacGregor,Robert N. Bradbury
The Red Ace,Jacques Jaccard,Jacques Jaccard
El aventurero misterioso,Eusebio Fernández Ardavín,Eusebio Fernández Ardavín
The Red; Red Heart,Wilfred Lucas,"Bess Meredyth, Honore Morrow"
Die Jugendsünde,Georg Alexander,Ludwig Anzengruber
Der Mann ohne Namen - 1. Der Millionendieb,Georg Jacoby,"Georg Jacoby, Robert Liebmann, Ewald Gerhard Seeliger"
Spanish Flower or the Bullfighter's Story,Helena Cortesina; José María Granada,José María Granada
Lonely Heart,John B. O'Brien,"H.H. Caldwell, Anthony Paul Kelly, Edgar Selwyn"
The Cowboy and the Lady,Charles Maigne,"Clyde Fitch, Julien Josephson"
Frauenmoral,Theo Frenkel,"Paul Beyer, Theo Frenkel"
Don't Call It Love,William C. de Mille,"Clara Beranger, Hubert Osborne, Julian Street"
Broadway Lady,Wesley Ruggles,Fred Myton
Fangs of Wolfheart,Charles R. Seeling,\N
Women and Gold,James P. Hogan,"Betty Grace Hartford, James P. Hogan"
The Unknown Cavalier,Albert S. Rogell,"Kenneth Perkins, Marion Jackson, Don Ryan"
Chang: A Drama of the Wilderness,Merian C. Cooper; Ernest B. Schoedsack,"Achmed Abdullah, Merian C. Cooper, Ernest B. Schoedsack"
Dress Parade,Donald Crisp,"Douglas Z. Doty, John W. Krafft, Robert Glassburn, Alexander Chilton, Herbert Walters"
The Romantic Age,Robert Florey,Dorothy Howell
The Grain of Dust,George Archainbaud,"Frances Hyland, Paul Perez, David Graham Phillips, Gordon Rigby"
The Trespasser,Edmund Goulding,Edmund Goulding
Dames Ahoy,William James Craft,"Sherman L. Lowe, Albert DeMond, Matt Taylor"
The Song of the Flame,Alan Crosland,"Oscar Hammerstein II, Otto A. Harbach, Gordon Rigby"
Tom Sawyer,John Cromwell,"Mark Twain, Grover Jones, William Slavens McNutt, Sam Mintz"
M'Blimey,J. Elder Wills,"C.H. Dand, Hans Nieter, Frederick Albert Swan, J. Elder Wills"
Three Cornered Hat,Mario Camerini,"Ercole Patti, Ivo Perilli, Mario Soldati, Pedro Antonio de Alarcón"
Caravan,Erik Charell,"Erik Charell, Hanns Kräly, Melchior Lengyel, Robert Liebmann, Samson Raphaelson, Arthur Ripley, Raymond Van Sickle, Bernard Zimmer"
Mon coeur t'appelle,Carmine Gallone; Serge Veber,"Ernst Marischka, Emeric Pressburger"
Jalna,John Cromwell,"Mazo de la Roche, Garrett Fort, Lawrence P. Bachmann, Anthony Veiller"
The Queen and the Cardinal,Abel Gance,"Henry Dupuis-Mazuel, Paul Fékété, Abel Gance"
Super-Speed,Lambert Hillyer,Harold Shumate
Don't Get Personal,William Nigh,"Wilhelm Thiele, Edmund L. Hartmann, George Waggner, Clarence Marks, Houston Branch"
Savoy-Hotel 217,Gustav Ucicky,Gerhard Menzel
