tconst,wikidata_title,wikidata_directors,wikidata_writers
tt0001993,Q8840826,Camille de Morlhon,Abel Gance
tt0002735,The Cameo,Maurice Tourneur,\N
tt0003227,"The Girl from Abroad; or, The Great Underworld",Mauritz Stiller,Mauritz Stiller
tt0003324,A Regiment of Two,George D. Baker; Ralph Ince,\N
tt0003632,Frau Eva,Robert Wiene; Artur Berger,Robert Wiene; Artur Berger
tt0003887,\N,\N,\N
tt0004435,The Opened Shutters,Otis Turner,\N
tt0004493,The Pride of Jennico,J. Searle Dawley,\N
tt0004519,\N,\N,\N
tt0004831,\N,\N,\N
tt0004926,\N,\N,\N
tt0004942,The Battle Cry of Peace,Wilfrid North; J. Stuart Blackton,J. Stuart Blackton
tt0004950,The Beachcomber,Phil Rosen,\N
tt0005041,The Butterfly on the Wheel,Maurice Tourneur,Edward Hemmerde
tt0005172,The Darkening Trail,William S. Hart,C. Gardner Sullivan
tt0005689,The Majesty of the Law,Julia Crawford Ivers,\N
tt0005928,The Prince and the Pauper,Edwin Stanton Porter,Mark Twain
tt0006043,The Silent Voice,William Bowman,\N
tt0006773,The Heart of a Hero,Émile Chautard; George Archainbaud,Frances Marion
tt0007458,Thrown to the Lions,Lucius J. Henderson,\N
tt0007655,The Auction Block,Laurence Trimble,\N
tt0007926,The Fair Barbarian,Robert Thornby,\N
tt0008202,The Lonesome Chap,Edward LeSaint,Harvey Gates
tt0008459,The Primitive Call,Bertram Bracken,\N
tt0008466,\N,\N,\N
tt0008521,The Rose of Blood,J. Gordon Edwards,Bernard McConville
tt0009110,The Girl Who Wouldn't Quit,Edgar Jones,\N
tt0009319,Love Me,Roy William Neill,C. Gardner Sullivan
tt0009325,The Lure of the Circus,J. P. McGowan,Hope Loring
tt0009521,The Prodigal Wife,Frank Reicher,\N
tt0009559,A Romance of Happy Valley,D. W. Griffith,\N
tt0009595,The Secret Woman,A.E. Coleby,Eden Phillpotts
tt0009650,The Squaw Man,Anne Bauchens; Sam Wood; Cecil B. DeMille,Beulah Marie Dix
tt0009965,Breezy Jim,Lorimer Johnston,\N
tt0010389,The Lottery Man,James Cruze,Frank Urson
tt0010534,The Other Half,King Vidor,King Vidor
tt0010536,\N,\N,\N
tt0010742,\N,\N,\N
tt0010934,Ray of Sunshine,Theo Frenkel,Theo Frenkel
tt0011166,Eyes of the Heart,Paul Powell,Clara Genevieve Kennedy
tt0011167,The Face at Your Window,Richard Stanton,Edward Sedgwick; Max Marcin
tt0011280,Helleveeg,Theo Frenkel,Theo Frenkel
tt0011483,Mothers of Men,Edward José,\N
tt0011616,The Red Lane,Lynn Reynolds,\N
tt0011625,The Riddle: Woman,Edward José,Charlotte E. Wells; Dorothy Donnelly; John B. Clymer
tt0011726,A Splendid Hazard,Arthur Rosson,\N
tt0011784,Trailed by Three,Perry N. Vekroff,Q5076779
