tconst,wikidata_title,wikidata_directors,wikidata_writers
tt0003442,Tess of the d'Urbervilles,J. Searle Dawley,Thomas Hardy
tt0003749,\N,\N,\N
tt0005626,The Little Dutch Girl,Émile Chautard,\N
tt0005921,Pretty Mrs. Smith,Hobart Bosworth,Elmer Blaney Harris
tt0007102,\N,\N,\N
tt0007430,\N,\N,\N
tt0008502,The Red Ace,Jacques Jaccard,Jacques Jaccard
tt0008855,\N,\N,\N
tt0009540,\N,\N,\N
tt0010317,\N,\N,\N
tt0011436,Q38047964,Georg Jacoby,Robert Liebmann
tt0012177,\N,\N,\N
tt0012403,\N,\N,\N
tt0013030,The Cowboy and the Lady,Charles Maigne,Julien Josephson
tt0014059,Frauenmoral,Theo Frenkel,\N
tt0014852,Don't Call It Love,William Churchill deMille,Clara Beranger
tt0015647,Broadway Lady,Wesley Ruggles,Q5495982
tt0015793,\N,\N,\N
tt0016551,Women and Gold,\N,\N
tt0017500,The Unknown Cavalier,Albert S. Rogell,\N
tt0017743,Chang,Ernest B. Schoedsack; Merian C. Cooper,Achmed Abdullah; Merian C. Cooper; Ernest B. Schoedsack
tt0017829,Dress Parade,Donald Crisp,\N
tt0018336,The Romantic Age,Robert Florey,\N
tt0018953,The Grain of Dust,George Archainbaud,Gordon Rigby
tt0020514,The Trespasser,Edmund Goulding,Edmund Goulding
tt0020803,Q16989055,William James Craft,Sherman L. Lowe
tt0021404,Song of the Flame,Alan Crosland,Gordon Rigby
tt0021483,Tom Sawyer,John Cromwell,Grover Jones
tt0022101,\N,\N,\N
tt0024950,The Three-Cornered Hat,Mario Camerini,Ercole Patti; Mario Soldati; Ivo Perilli
tt0024952,Caravan,Erik Charell,Samson Raphaelson
tt0025512,Mon cœur t'appelle,Carmine Gallone,Ernst Marischka
tt0026542,Jalna,John Cromwell,Anthony Veiller
tt0026546,Jérôme Perreau héros des barricades,Abel Gance,Abel Gance
tt0027060,Super Speed,\N,\N
tt0027535,Don't Get Personal,William Nigh,George Waggner
tt0028220,Savoy Hotel 217,Gustav Ucicky; Eduard von Borsody,Gerhard Menzel
tt0029085,\N,\N,\N
tt0029141,Love Can Lie,Heinz Helbig,\N
tt0029328,O.H.M.S.,Raoul Walsh,\N
tt0030981,Wives Under Suspicion,James Whale,Myles Connolly
tt0031655,The Minister's Friend,Viktor Bánky,\N
tt0031703,Mystery Plane,George Waggner,\N
tt0032793,Military Academy,D. Ross Lederman,Karl Brown
tt0033156,\N,\N,\N
tt0033880,Q3846997,Ivo Perilli,Nicola Manzari
tt0034417,"¡Ay, qué tiempos, señor Don Simón!",Julio Bracho,\N
tt0034497,Raigekitai Shutsudo,Kajirō Yamamoto,\N
tt0034876,Huella de luz,Rafael Gil,Wenceslao Fernández Flórez; Rafael Gil
tt0034887,\N,\N,\N
tt0035028,Man from Headquarters,Jean Yarbrough,\N
tt0035220,Private Snuffy Smith,Edward F. Cline,Billy DeBeck
tt0037856,Q18693357,Jorma Nortimo,\N
tt0038428,Cowboy Blues,Ray Nazarro,\N
tt0038504,Earl Carroll Sketchbook,Albert S. Rogell,\N
tt0038582,A Guy Could Change,William K. Howard,\N
tt0038878,Renegades,George Sherman,\N
tt0039068,One Between the Crowd,Ennio Cerlesi,\N
tt0040489,Jinx Money,William Beaudine,\N
tt0041332,El Paso,Lewis R. Foster,J. Robert Bren
tt0042566,Q12208515,Hassan el-Imam,\N
tt0044122,This is Korea,John Ford,\N
tt0045619,Champ for a Day,William A. Seiter,Irving Shulman
tt0045809,\N,\N,\N
tt0046237,Resan till dej,Stig Olin,\N
tt0046718,Anupama,Agradoot,\N
tt0047027,\N,\N,\N
tt0048283,Land of the Pharaohs,Howard Hawks; Paul Helmick,Harold Jack Bloom; Harry Kurnitz; William Faulkner
tt0049784,Early Spring,Yasujirō Ozu,Yasujirō Ozu; Kōgo Noda
tt0050910,Rockets Galore!,Michael Relph,Monja Danischewsky
tt0053337,Teenagers from Outer Space,Tom Graeff,Tom Graeff
tt0054285,Atom Age Vampire,Anton Giulio Majano,Alberto Bevilacqua
tt0055613,"Watch it, Sailor!",Wolf Rilla,Falkland Cary
tt0056289,The Notorious Landlady,Richard Quine,Larry Gelbart; Blake Edwards; Margery Sharp
tt0056468,The Condemned of Altona,Vittorio De Sica,Cesare Zavattini; Abby Mann; Jean-Paul Sartre
tt0056935,\N,\N,\N
tt0057076,From Russia with Love,Terence Young,Johanna Harwood; Richard Maibaum
tt0057189,Island of Love,Morton DaCosta,\N
tt0059036,100 Horsemen,Vittorio Cottafavi,Giorgio Prosperi; Vittorio Cottafavi; Antonio Eceiza
tt0059043,The Collector,William Wyler,Stanley Mann; John Kohn; Terry Southern
tt0059482,Las Mujeres los prefieren tontos,Luis Saslavsky,\N
tt0059551,L'Or du duc,Jacques Baratier,Jacques Baratier
tt0061180,The Whisperers,Bryan Forbes,Bryan Forbes
tt0061437,Calamity the Cow,David Eastman,\N
tt0061441,\N,\N,\N
tt0061828,An Italian in America,Alberto Sordi,Rodolfo Sonego; Alberto Sordi
tt0061877,Kommissar X - Drei blaue Panther,Gianfranco Parolini,Giovanni Simonelli
tt0062231,Blood of the Virgins,Emilio Vieyra,Emilio Vieyra
tt0062863,Dark of the Sun,Jack Cardiff,Ranald MacDougall
tt0063142,Isle of the Snake People,Juan Ibáñez Díez-Gutiérrez; Jack Hill,Jack Hill; Luis Enrique Vergara
tt0063190,Q10547303,Torgny Anderberg,Torgny Anderberg
tt0063556,It's Your Move,Roberto Fizz,José Gutiérrez Maesso; Luciano Martino; Tito Carpi; Ennio de Concini
tt0063760,Q4009212,Bruno Gaburro,Bruno Gaburro
tt0064119,Poppea's Hot Nights,Guido Malatesta,Gianfranco Clerici; Guido Malatesta
tt0064208,Death Rides a Horse,Giulio Petroni,Luciano Vincenzoni
tt0064243,The Sweet Body of Deborah,Romolo Guerrieri,Luciano Martino; Ernesto Gastaldi
tt0064667,The Mighty Gorga,David L. Hewitt,\N
tt0066470,The Complete Idiot,Juan de Orduña,Rafael J. Salvia; Margarita Robles
tt0067493,\N,\N,\N
tt0067695,Russian field,Nikolay Moskalenko,Mikhail Alekseyev
tt0069147,Q118646693,Nelson Pereira dos Santos,\N
tt0069224,Sattar Khan,Ali Hatami,Ali Hatami
tt0069702,Ambush,Ho Meng Hua,\N
tt0070049,Facets of Love,Li Han-hsiang,Li Han-hsiang
tt0070124,Gordon's War,Ossie Davis,Ed Spielman; Howard Friedlander
tt0071273,Can You Keep It Up for a Week?,\N,\N
tt0071974,The Wonderful Crook,Claude Goretta,\N
tt0072087,\N,\N,\N
tt0072284,Three the Hard Way,"Gordon Parks, Jr.",Eric Bercovici
tt0072640,"Strip First, Then We Talk",Renzo Ragazzi; Fabio Pittorru,Fabio Pittorru
tt0072978,Five Days at Falkoebing,Marianne Ahrne,Marianne Ahrne
tt0074389,\N,\N,\N
tt0075707,Aurel Vlaicu,Mircea Drăgan,\N
tt0075773,Bluff Stop,Jonas Cornell,Jonas Cornell
tt0075985,Emily,"Henry Herbert, 17th Earl of Pembroke",\N
tt0077373,Stay As You Are,Alberto Lattuada,Enrico Oldoini; Alberto Lattuada
tt0079712,Perro callejero II,Gilberto Gazcón,\N
