algorithm,tp,fp,fn,tn,precision,recall,accuracy,specificity,f1,iterations,duration_ms
AccuCopy_FF,5146.0,3009.0,575.0,1687.0,0.631,0.8995,0.6559,0.3592,0.7417,3.0,43.0
AccuCopy_FT,5105.0,3050.0,616.0,1646.0,0.626,0.8923,0.6481,0.3505,0.7358,2.0,36.0
AccuCopy_TF,5118.0,3037.0,603.0,1659.0,0.6276,0.8946,0.6506,0.3533,0.7377,3.0,86.0
AccuCopy_TT,5106.0,3049.0,615.0,1647.0,0.6261,0.8925,0.6483,0.3507,0.7359,2.0,65.0
GuessLCA,5143.0,3012.0,578.0,1684.0,0.6307,0.899,0.6554,0.3586,0.7413,4.0,50.0
LTM,658.0,936.0,5063.0,3760.0,0.4104,0.115,0.4241,0.8006,0.1795,500.0,1232.0
SimpleLCA,5105.0,3050.0,616.0,1646.0,0.626,0.8923,0.6481,0.3505,0.7358,5.0,45.0
ThreeEstimate,5105.0,3050.0,616.0,1646.0,0.626,0.8923,0.6481,0.3505,0.7358,100.0,1240.0
TruthFinder,5106.0,3049.0,615.0,1647.0,0.6261,0.8925,0.6483,0.3507,0.7359,2.0,58.0
TwoEstimates,5105.0,3050.0,616.0,1646.0,0.626,0.8923,0.6481,0.3505,0.7358,3.0,44.0
Voting,5154.0,3001.0,567.0,1695.0,0.632,0.9009,0.6575,0.3609,0.7429,1.0,17.0
