algorithm,tp,fp,fn,tn,precision,recall,accuracy,specificity,f1,iterations,duration_ms
AccuCopy_FF,9031.0,4207.0,1175.0,2833.0,0.6822,0.8849,0.6879,0.4024,0.7704,3.0,121.0
AccuCopy_FT,9083.0,4155.0,1123.0,2885.0,0.6861,0.89,0.694,0.4098,0.7749,2.0,87.0
AccuCopy_TF,9088.0,4150.0,1118.0,2890.0,0.6865,0.8905,0.6945,0.4105,0.7753,3.0,170.0
AccuCopy_TT,9103.0,4135.0,1103.0,2905.0,0.6876,0.8919,0.6963,0.4126,0.7766,2.0,134.0
GuessLCA,9086.0,4152.0,1120.0,2888.0,0.6864,0.8903,0.6943,0.4102,0.7751,4.0,123.0
LTM,1769.0,1859.0,8437.0,5181.0,0.3848,0.1734,0.403,0.736,0.2155,500.0,3936.0
SimpleLCA,9094.0,4144.0,1112.0,2896.0,0.687,0.891,0.6952,0.4114,0.7758,4.0,84.0
ThreeEstimate,9017.0,4221.0,1189.0,2819.0,0.6811,0.8835,0.6863,0.4004,0.7692,100.0,3961.0
TruthFinder,9048.0,4190.0,1158.0,2850.0,0.6835,0.8865,0.6899,0.4048,0.7719,2.0,92.0
TwoEstimates,9089.0,4149.0,1117.0,2891.0,0.6866,0.8906,0.6947,0.4107,0.7754,6.0,190.0
Voting,9017.0,4221.0,1189.0,2819.0,0.6811,0.8835,0.6863,0.4004,0.7692,1.0,33.0
